2,5 km von der Stadt St. Gallen entfernt;106 CHF pro Nacht, ursprünglich 129 CHF
Ferien auf dem Alpaka Hof;200 CHF pro Nacht
Schönes Haus an ruhiger Lage (Zimmer 2);80 CHF pro Nacht
Großzügige Wohnung in Herisau;128 CHF pro Nacht
Doppelzimmer ruhige Lage nahe ÖV;104 CHF pro Nacht
Unsere Wohnung eignet sich für die Unterkunft;134 CHF pro Nacht
Paradies am Dreiländereck & Kostenlosem Parkplatz;145 CHF pro Nacht
YELLOW INN B 24 nähe Uni, Olma, Spital, FHS;146 CHF pro Nacht
Zwei helle Zimmer, Küche und Bad;88 CHF pro Nacht
"Casa Siddhartha - ""H.Hesse""";53 CHF pro Nacht
Im Grünen nahe des Zentrum (Einzelzimmer);69 CHF pro Nacht
Haus mit Charakter, gartenbestückt und im Dorf;187 CHF pro Nacht
s'Höckli - Appenzeller Chalet mit Seesicht;175 CHF pro Nacht
Gemütliche Loft in umgebauter Remise;152 CHF pro Nacht
Privatzimmer in St. Gallen Olma, Uni, HSG, FHS1;54 CHF pro Nacht
Echte Gemütlichkeit zum Ausruhen;75 CHF pro Nacht
Gemütliche kleine 1-Zimmer-Wohnung in Heiden;77 CHF pro Nacht, ursprünglich 84 CHF
Gemütliches Zimmer auf dem Demeterhof.;83 CHF pro Nacht
Säntiszimmer;42 CHF pro Nacht
Ganze Wohnung mitten in der Altstadt von Arbon;94 CHF pro Nacht
10.10-20.10.2024;
title;price
Stilvoll zentral 1 Zi-Studio im Gertrud Schlössli;54 CHF pro Nacht, ursprünglich 60 CHF
Studio mit Charme und Aussicht;58 CHF pro Nacht, ursprünglich 69 CHF
Zur Geduld;87 CHF pro Nacht, ursprünglich 97 CHF
Studio mit Panoramaaussicht;58 CHF pro Nacht, ursprünglich 69 CHF
Neu möblierte schöne Wohnung im Zentrum *AppleTV*;106 CHF pro Nacht, ursprünglich 115 CHF
2.5 Zimmer mit Balkon Nähe Spital, Uni;96 CHF pro Nacht
Sky-Town Apartment;110 CHF pro Nacht
TouchBed | Budget Studio;101 CHF pro Nacht
winzige Wohnung;93 CHF pro Nacht
Grosszügige Wohnung in der Stadt;147 CHF pro Nacht, ursprünglich 160 CHF
2.New Apartment 2 Min vom Bahnhof;139 CHF pro Nacht, ursprünglich 158 CHF
1 Zimmerwohnung ohne Küche mitten im Zentrum;75 CHF pro Nacht
2.5 Zimmer, modern, ruhig und zentrumsnah;124 CHF pro Nacht
Nähe Theater, Olma, Uni, Stadtzentrum;123 CHF pro Nacht
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil;81 CHF pro Nacht, ursprünglich 89 CHF
ruhige,  neue Dachwohnung an Altstadt, nahe Messe;114 CHF pro Nacht, ursprünglich 124 CHF
Attika 2, 5 Zimmer möbliert Nähe HSG Universität;106 CHF pro Nacht, ursprünglich 117 CHF
Charmante Jugendstilwohnung;88 CHF pro Nacht, ursprünglich 95 CHF
