"Privatzimmer in St. Gallen Olma, Uni, HSG, FHS1",150 CHF 
House,Price
1 Zimmerwohnung ohne Küche mitten im Zentrum,83 CHF 
"Central, Cozy Home near HSG/FH/Olma-Area/Hospital",102 CHF 
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,98 CHF 
Charmante Wohnung auf dem Lande und doch zentral,116 CHF 
Zimmer in St. Gallen ruhig gelegen,33 CHF 
Nah an der Natur und ÖV vor der Tür,75 CHF 
Leimathof Wohnung Typ I,218 CHF 
Genieße den Seeblick von der Dachterrasse aus,183 CHF 
Gartenstudio in Appenzellerhaus,140 CHF 
Gemütliche möblierte Attika nähe HSG Uni & OLMA,58 CHF 
Ruhiges Zimmer in ländlicher Umgebung nahe SG,87 CHF 
Die charmante Ferienwohnung,274 CHF 
Umweltfreundl. Rooftop Apart. St. Gallen Zentrum,198 CHF 
Adlerhorst mit Hotpot,128 CHF 
Moderne Einliegerwohnung auf Biobauernhof,81 CHF 
Studio mit Charme und Aussicht,241 CHF 
"Charmante, sehr zentral gelegene 4-Zimmerwohnung",81 CHF 
Studio mit Panoramaaussicht,264 CHF 
Penthouse Apartment mit 250m2 Terrasse,150 CHF 
Ferienwohnung im Fürstenland 2.OG,279 CHF 
habu Apartments bei OLMA % gemütlicher Aufenthalt,116 CHF 
spezielle Wohnung in Goldach,293 CHF 
emmi Chalet,66 CHF 
Sonniges Privatzimmer ( in der Nähe der Seen),229 CHF 
Leimathof Wohnung Typ I (LZ),152 CHF 
Ruhiges Wohlfühlzimmer mit eigenem Bad,63 CHF 
Gemütliche Loft in umgebauter Remise,296 CHF 
1er Zimmer ruhig 5 Min. bis ÖV,88 CHF 
Wellness,98 CHF 
Zentrale Ferienwohnung am Bodensee,134 CHF 
Ganze Wohnung mitten in der Altstadt von Arbon,94 CHF 
wunderschönes studio im dorfkern von trogen,86 CHF 
Ferienwohnung klein aber fein,88 CHF 
Privatzimmer - Tolle Aussicht auf den See,61 CHF 
Wunderschöne Jugendstil-Wohnung Nähe Olma und Uni,231 CHF 
Ort für Auszeit im Grünen,115 CHF 
hübsche 2 1/2 Zimmer Dachwohnung,100 CHF 
Gemütliche Unterkunft am ruhigen Stadtrand,110 CHF 
Idyllischer Bauwagen auf dem Bio Bauernhof,125 CHF 
Zimmer mit traumhaftem Ausblick,147 CHF 
"Attika 2,5 Zimmer möbliert Nähe HSG Universität",37 CHF 
Komfortables Einzelzimmer,51 CHF 
"Helle Neubauwohnung (1 BR, NR)",159 CHF 
Schmuckes Zimmer (Bett 140x200 ) nahe REHA Klinik,518 CHF 
Charmante Wohnung in Rotmonten,62 CHF 
Tiny House Nähe Sitter,142 CHF 
Leimathof Attika,264 CHF 
Zu Gast im Hecht Rehetobel,96 CHF 
Loft63 am Bodensee,187 CHF 
"Gelb, gelb, gelb, gelb!",146 CHF 
"YELLOW INN 7 nähe Uni, Olma, Spital, FHS",81 CHF 
Schönes Haus an ruhiger Lage (Zimmer 1),77 CHF 
Komfortables Zimmer/Bad & Frühstück,207 CHF 
Gemütliches Appenzeller Holzhaus,123 CHF 
"Luftiges Studio @sunehus.ch,  mit OSKAR Gästekarte",161 CHF 
Haus MiLu Ferienwohnung,119 CHF 
Zentrale Wohnung mit Balkon,42 CHF 
Säntiszimmer,51 CHF 
Doppelzimmer in EFH nahe REHAKLINIK mit free WLAN,111 CHF 
Altstadtfeeling am See.,63 CHF 
"Helles, grosses Dachzimmer mit privater Terrasse",71 CHF 
Doppelzimmer ruhige Lage nahe ÖV,104 CHF 
"Privatzimmer St Gallen Olma, Uni, HSG, FHS3",60 CHF 
Casa Siddhartha - „Hemingway“,47 CHF 
Casa Siddhartha - R. Musil,61 CHF 
Ferienwohnung 100 m2,163 CHF 
Sustena- Gastwohnung am Stadtbach,169 CHF 
Im Grünen nahe des Zentrum (Familienzimmer 2+2),69 CHF 
Das Spielzimmer* am Bodensee,115 CHF 
Schöne Wohnung 5 Minuten vom Bodensee/Bodensee entfernt.,199 CHF 
Unterkünft 2 Minuten von See,91 CHF 
Schönes Haus an ruhiger Lage (Zimmer 2),80 CHF 
Im Grünen nahe des Zentrum (Einzelzimmer),69 CHF 
"Ruhiges, Privates Zimmer im Speicher",104 CHF 
"""2 Kronberg"" ruhige Lage, freundl. Zimmer, seenah",76 CHF 
Bergfrieden,150 CHF 
Unterkunft 300m zum Bodensee,230 CHF 
Gemütliches Appenzeller Haus mit Aussicht,134 CHF 
Pepenezia Zimmer: Koje,98 CHF 
Gemütlich im Gasthaus,104 CHF 
Zentrale 3 1/2-grosse Wohnung 2.OG,265 CHF 
Doppelzimmer 'Charme' - Hotel de charme Römerhof,182 CHF 
"YELLOW INN B 24 nähe Uni, Olma, Spital, FHS",146 CHF 
Leimathof Wohnung Typ I,218 CHF 
Leimathof Wohnung Typ II (LZ),252 CHF 
"YELLOW INN B 28 nähe Uni, Olma, Spital, FHS",146 CHF 
Heimeliges altes Ferienhäuschen in Wald AR,133 CHF 
"Schönes Zimmer, zentral gelegen",52 CHF 
"Mini-Studio 1  Pers. in Villa, nächster Hauptbahnhof",200 CHF 
Ein bett im Keller/ Abstellraum,38 CHF 
Einzelzimmer - Hotel de charme Römerhof,160 CHF 
"Bei Arnold's, Rehetobel, Anbauwohnung",134 CHF 
"Privatzimmer in St. Gallen HSG, Olma, Uni, FHS4",60 CHF 
Pavillon direkt am Bodensee!,202 CHF 
Ferienwohnung Hackbere,213 CHF 
Haus mit Schwimmteich,127 CHF 
5 LuxuryApartment★★Kostenloser Parkplatz★Netflix★in der Nähe der Stadt,361 CHF 
*Star* Apartment mit Panoramasicht*,473 CHF 
"Casa Siddhartha - ""H.Hesse""",53 CHF 
Luxury Apartment mit atemberaubender Panoramasicht,470 CHF 
