Preis,Name
107,ruhiges Tiny House in der Nähe des Waldes
87,einfaches Flat
66,Studio Trailalps: Nähe St. Gallen
121,2.5 Zimmer Dachwohnung mit Gartensitzplatz
146,TouchBed | Budget Apartment
147,Cresta
84,TouchBed | Budget Doppelzimmer
68,2. Charmante Wohnung in Seenähe
66,Gartenstudio in Appenzellerhaus
73,Charmante Wohnung in Seenähe
126,Atelier/Loft im Grünen Individuelles Altes Haus
75,spezielle Wohnung in Goldach
43,einfaches Zimmer
241,Umweltfreundl. Rooftop Apart. St. Gallen Zentrum
119,Gemütliche Loft in umgebauter Remise
277,TouchBed | Großes 3-BR-Apartment Erdgeschoss
78,wunderschönes studio im dorfkern von trogen
162,TouchBed | Wohnung
77,Ferienwohnung klein aber fein
87,Studio
179,Einzigartige Lage direkt am See mit endlosem Blick
99,Gemütliche Ferienwohnung auf Bio Bauernhof
132,"Gelb, gelb, gelb, gelb!"
92,"Luftiges Studio @sunehus.ch,  mit OSKAR Gästekarte"
113,Schöne 2 Zimmer Wohnung
128,TouchBed | Superior Studio
64,Privatzimmer - Tolle Aussicht auf den See
97,gemütliche Dachwohnung
132,Altstadt Dachwohnung
59,"""2 Kronberg"" ruhige Lage, freundl. Zimmer, seenah"
77,"Zwei helle Zimmer, Küche und Bad"
42,Säntiszimmer
45,Easy Room
57,1er Zimmer ruhig 5 Min. bis ÖV
138,Bijou in der Stadt St. Gallen
81,Zimmer III/III direkt am Bahnhof St.Gallen
108,Moderne Einliegerwohnung auf Biobauernhof
54,Eine gemütliche Altbau Wohnung mit Charme.
164,"Zentrale, heimelige 2 1/2 Z'wohnung"
42,Säntiszimmer
47,Casa Siddhartha - R. Musil
82,RusicaYellow  32 Spital Uni Olma HSG
76,Ruhiges Wohlfühlzimmer mit eigenem Bad
82,RusicaYellow  32 Spital Uni Olma HSG
93,2-Zimmer - Studio - sehr zentral City
50,Unterkunft 300m zum Bodensee
55,Im Grünen nahe des Zentrum (Familienzimmer 2+2)
