Blatt 1: titles
title 27.06.24-30.06.24,price
Zimmer in St. Gallen ruhig gelegen,CHF 33.00
1 Zimmerwohnung ohne Küche mitten im Zentrum,CHF 83.00
Komfortables Einzelzimmer,CHF 37.00
"Central, Cozy Home near HSG/FH/Olma-Area/Hospital",CHF 102.00
1er Zimmer ruhig 5 Min. bis ÖV,CHF 63.00
Nah an der Natur und ÖV vor der Tür,CHF 75.00
Charmante Wohnung auf dem Lande und doch zentral,CHF 116.00
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,CHF 98.00
Zimmer in St. Gallen ruhig gelegen,CHF 33.00
1 Zimmerwohnung ohne Küche mitten im Zentrum,CHF 83.00
Komfortables Einzelzimmer,CHF 37.00
"Central, Cozy Home near HSG/FH/Olma-Area/Hospital",CHF 102.00
1er Zimmer ruhig 5 Min. bis ÖV,CHF 63.00
Nah an der Natur und ÖV vor der Tür,CHF 75.00
Charmante Wohnung auf dem Lande und doch zentral,CHF 116.00
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,CHF 98.00
Zimmer in St. Gallen ruhig gelegen,CHF 33.00
1 Zimmerwohnung ohne Küche mitten im Zentrum,CHF 83.00
Komfortables Einzelzimmer,CHF 37.00
"Central, Cozy Home near HSG/FH/Olma-Area/Hospital",CHF 102.00
1er Zimmer ruhig 5 Min. bis ÖV,CHF 63.00
Nah an der Natur und ÖV vor der Tür,CHF 75.00
Charmante Wohnung auf dem Lande und doch zentral,CHF 116.00
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,CHF 98.00
Zimmer in St. Gallen ruhig gelegen,CHF 33.00
1 Zimmerwohnung ohne Küche mitten im Zentrum,CHF 83.00
Komfortables Einzelzimmer,CHF 37.00
"Central, Cozy Home near HSG/FH/Olma-Area/Hospital",CHF 102.00
1er Zimmer ruhig 5 Min. bis ÖV,CHF 63.00
Nah an der Natur und ÖV vor der Tür,CHF 75.00
Charmante Wohnung auf dem Lande und doch zentral,CHF 116.00
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,CHF 98.00
Zimmer in St. Gallen ruhig gelegen,CHF 33.00
1 Zimmerwohnung ohne Küche mitten im Zentrum,CHF 83.00
