RESTAURANT_ID;NAME;ADRESS;REVIEW_COUNT_TRIP;REVIEW_COUNT_GOOGLE;PRICE_RANGE_TRIP;CITY;PLZ;KREIS;AVERAGE_REVIEW_TRIP;AVERAGE_REVIEW_GOOGLE;WEIGHTED AVERAGE REVIEW;DATA_SOURCE;alt_Google_clean.Restaurantname;alt_Beide Quellen?;alt_Trip_Küche;alt_Google_clean.Ort;alt_Google_clean.PLZ;alt_Google_clean.Strasse;alt_Google_KÜCHE;alt_Merged_Küche;alt_Google_clean.Preis;SUM REVIEW COUNT;PRICE_NUMERIC;WEIGHTED RATING;Lage
334;Migros Restaurant;Limmatstrasse 152;94;416;€;Zürich;8005;Kreis 5;4;3.8;3.836862745;both;Migros-Restaurant - Zürich - Limmatplatz;Yes;;Zürich;8005;Limmatstrasse 152;Restaurant;, Restaurant;k. A.;510;1;3.852264151;Zentrum
335;Miki Ramen;Sihlfeldstrasse 63;170;1433;€€ - €€€;Zürich;8003;Kreis 3;4.5;4.5;4.5;both;MIKI | みき | Ramen;Yes;Asiatisch, Japanisch, Suppen;Zürich;8003;Sihlfeldstrasse 63;Ramen;Asiatisch, Japanisch, Suppen, Ramen;k. A.;1603;3;4.496857671;Zentrum
336;Miss Miu Europaallee;Europaallee 48;165;2827;€€ - €€€;Zürich;8004;Kreis 4;3.5;4.1;4.066911765;both;Miss Miu Europaallee;Yes;Koreanisch;Zürich;8004;Europaallee 48;Asiatische Fusionsküche;Koreanisch, Asiatische Fusionsküche;Mäßig teuer;2992;3;4.06809429;Zentrum
337;Montmartre - Café et Bistro;Weggengasse 4;33;314;€€ - €€€;Zürich;8001;Kreis 1;4.5;4.6;4.590489914;both;Montmartre Café & Bistro;Yes;Europäisch, Café, Französisch;Zürich;8001;Weggengasse 4;Bistro;Europäisch, Café, Französisch, Bistro;Price information not available;347;3;4.571662125;Zentrum
338;Moudi Bar&Restaurant;Brandschenkestrasse 5;156;921;€€ - €€€;Zürich;8001;Kreis 1;4;4.1;4.08551532;both;Moudi Bar & Restaurant;Yes;Mediterran, Orientalisch, Libanesisch;Zürich;8001;Brandschenkestrasse 5;Libanesisch;Mediterran, Orientalisch, Libanesisch, Libanesisch;Mäßig teuer;1077;3;4.088422972;Zentrum
339;Moudis Lecker Garten;Winterthurerstrasse 86;153;910;€€ - €€€;Zürich;8006;Kreis 6;4;4.5;4.428033866;both;Moudi's Lecker Garten;Yes;Mediterran, Orientalisch, Libanesisch;Zürich;8006;Winterthurerstrasse 86;Libanesisch;Mediterran, Orientalisch, Libanesisch, Libanesisch;Mäßig teuer;1063;3;4.42465374;Zentrum
340;Mövenpick Hotel Restaurant;Walter Mittelholzerstrasse 8;476;27;€€ - €€€;Zürich;8152;Aglo.;3.5;3;3.473161034;both;Mövenpick Restaurant;Yes;Europäisch, Schweizerisch, International;Opfikon;8152;Walter Mittelholzerstrasse 8;Restaurant;Europäisch, Schweizerisch, International, Restaurant;k. A.;503;3;3.502676864;Aglo.
341;Muggenbühl;Muggenbuehlstrasse 15;125;835;€€ - €€€;Zürich;8038;Kreis 2;3.5;4.3;4.195833333;both;Muggenbühl;Yes;Europäisch, Schweizerisch, Mitteleuropäisch;Zürich;8038;Muggenbühlstrasse 15;Schweizerisch;Europäisch, Schweizerisch, Mitteleuropäisch, Schweizerisch;Mäßig teuer;960;3;4.196836735;Zentrum
342;Musti Grill;Saumackerstrasse 48;39;958;€;Zürich;8048;Kreis 9;4.5;4.6;4.596088265;both;Musti Grill;Yes;Grillspezialitäten, Türkisch;Zürich;8048;Saumackerstrasse 48;Türkisch;Grillspezialitäten, Türkisch, Türkisch;Mäßig teuer;997;1;4.589183874;Zentrum
343;NA081;Konradstrasse 71;144;875;€€ - €€€;Zürich;8005;Kreis 5;3.5;4.2;4.10107949;both;NA081;Yes;Italienisch, Mediterran, Pizza;Zürich;8005;Konradstrasse 71;Neapolitanisch;Italienisch, Mediterran, Pizza, Neapolitanisch;Price information not available;1019;3;4.103849856;Zentrum
344;naanu . Take&Eat;Pfingstweidstrasse 104;125;494;€€ - €€€;Zürich;8005;Kreis 5;4.5;4.4;4.420193861;both;naanu;Yes;Asiatisch, Bar, Indisch, Barbecue;Zürich;8005;Pfingstweidstrasse 104;Indisch;Asiatisch, Bar, Indisch, Barbecue, Indisch;Price information not available;619;3;4.414710485;Zentrum
345;Nagasui;Selnaustrasse 16;283;433;€€ - €€€;Zürich;8001;Kreis 1;4.5;4.2;4.318575419;both;Nagasui Restaurant & Take Away;Yes;Asiatisch, Thailändisch, Chinesisch;Zürich;8001;Selnaustrasse 16;Asiatisch;Asiatisch, Thailändisch, Chinesisch, Asiatisch;Price information not available;716;3;4.316576087;Zentrum
346;NapaGrill Zürich;Brandschenkestrasse 130;130;773;€€€€;Zürich;8002;Kreis 2;4;4.4;4.342414175;both;NapaGrill;Yes;Bar, Grillspezialitäten, Steakhaus, Barbecue;Zürich;8002;Brandschenkestrasse 130;Steak;Bar, Grillspezialitäten, Steakhaus, Barbecue, Steak;Sehr teuer;903;4;4.340303359;Zentrum
347;Napis Thai-Restaurant;Flurstrasse 4;9;156;€€ - €€€;Zürich;8048;Kreis 9;4;4.4;4.378181818;both;Napi's Thai Restaurant & Take Away;Yes;Thailändisch;Zürich;8048;Flurstrasse 4;Thailändisch;Thailändisch, Thailändisch;Price information not available;165;3;4.363783784;Zentrum
348;Negishi Sushi Bar;Nägelihof 1;218;1053;€€ - €€€;Zürich;8001;Kreis 1;4;4.4;4.331392604;both;Negishi Sushi Bar Niederdorf;Yes;Asiatisch, Japanisch, Sushi;Zürich;8001;Nägelihof 1;Sushi-Restaurant;Asiatisch, Japanisch, Sushi, Sushi-Restaurant;Mäßig teuer;1271;3;4.330054222;Zentrum
349;Negishi Sushi Bar;Hofwiesenstrasse 363;27;520;€€ - €€€;Zürich;8050;Kreis 11;4;4.6;4.570383912;both;Negishi Sushi Bar Oerlikon;Yes;Asiatisch, Japanisch, Sushi;Zürich;8050;Hofwiesenstrasse 363;Sushi Takeaway;Asiatisch, Japanisch, Sushi, Sushi Takeaway;k. A.;547;3;4.558906526;Zentrum
350;Negishi Pelikanplatz;Pelikanplatz 15;23;611;€€ - €€€;Zürich;8001;Kreis 1;3.5;4.5;4.463722397;both;Negishi Sushi Bar Pelikanplatz;Yes;Asiatisch, Japanisch, Sushi;Zürich;8001;Pelikanplatz 15;Sushi-Restaurant;Asiatisch, Japanisch, Sushi, Sushi-Restaurant;k. A.;634;3;4.457033639;Zentrum
351;Neni;Langstrasse 150;284;1721;€€ - €€€;Zürich;8004;Kreis 4;4;4.3;4.257506234;both;NENI Zürich;Yes;Mediterran, Grillspezialitäten, Israelisch;Zürich;8004;Langstrasse 150;Israelisch;Mediterran, Grillspezialitäten, Israelisch, Israelisch;Mäßig teuer;2005;3;4.257382716;Zentrum
352;Neue Taverne;Glockengasse 8;103;519;€€ - €€€;Zürich;8001;Kreis 1;4;4.6;4.500643087;both;Neue Taverne;Yes;;Zürich;8001;Glockengasse 8;Gehobene Küche;, Gehobene Küche;Teuer;622;3;4.492679128;Zentrum
353;Restaurant Neufeld;Friesenbergstrasse 15;9;300;€€ - €€€;Zürich;8055;Kreis 3;4;4.1;4.097087379;both;Neufeld;Yes;Europäisch, Café, International;Zürich;8055;Friesenbergstrasse 15;Restaurant;Europäisch, Café, International, Restaurant;k. A.;309;3;4.106079027;Zentrum
354;New Bombay;Predigerplatz 34;112;1631;€€ - €€€;Zürich;8001;Kreis 1;4;4.3;4.280722892;both;New Bombay Indian Restaurant;Yes;Asiatisch, Indisch;Zürich;8001;Predigerplatz 34;Indisch;Asiatisch, Indisch, Indisch;Mäßig teuer;1743;3;4.28031764;Zentrum
355;Nice Gastrobar Niederdorf;Spitalgasse 5;2;46;;Zürich;8001;Kreis 1;5;4.7;4.7125;both;NICE Gastrobar @ Niederdorf;Yes;Mediterran;Zürich;8001;Spitalgasse 5;Restaurant;Mediterran, Restaurant;k. A.;48;0;4.575;Zentrum
356;Nikos;Albisriederstrasse 181;53;259;€€ - €€€;Zürich;8047;Kreis 9;3.5;4.1;3.998076923;both;Nikos Griechische Taverne;Yes;Griechisch;Zürich;8047;Albisriederstrasse 181;Griechisch;Griechisch, Griechisch;Mäßig teuer;312;3;4.012951807;Zentrum
357;Nooba Kreuzplatz;Kreuzplatz 5;186;700;€€ - €€€;Zürich;8032;Kreis 7;3.5;4.1;3.974040632;both;Nooba;Yes;Asiatisch;Zürich;8032;Kreuzplatz 5;Asiatisch;Asiatisch, Asiatisch;Price information not available;886;3;3.980022075;Zentrum
358;Nooch Asian Kitchen;Richtiplatz 3;203;1673;€€ - €€€;Zürich;8304;Aglo.;4;4.4;4.356716418;both;Nooch Asian Kitchen Richtiplatz;Yes;Asiatisch, Japanisch, Sushi;Wallisellen;8304;Richtiplatz 3;Asiatisch;Asiatisch, Japanisch, Sushi, Asiatisch;Mäßig teuer;1876;3;4.355537975;Aglo.
359;Noon;Oberdorfstrasse 9;93;258;€€ - €€€;Zürich;8001;Kreis 1;4.5;4.4;4.426495726;both;Noon Restaurant & Bar;Yes;Mediterran, Orientalisch, Libanesisch;Zürich;8001;Oberdorfstrasse 9;Libanesisch;Mediterran, Orientalisch, Libanesisch, Libanesisch;k. A.;351;3;4.41671159;Zentrum
360;Nordsee ShopVille;Bahnhofplatz 15;271;659;€€ - €€€;Zürich;8001;Kreis 1;4;4;4;both;Nordsee Shopville ZH HB;Yes;Europäisch, Fast Food, Meeresfrüchte;Zürich;8001;Bahnhofplatz 15;Fast Food;Europäisch, Fast Food, Meeresfrüchte, Fast Food;Price information not available;930;3;4.005157895;Zentrum
361;Nüni Restaurant;Hohlstrasse 430;20;354;;Zürich;8048;Kreis 9;3.5;4.3;4.257219251;both;Nüni;Yes;Europäisch, Schweizerisch, Café, Bar;Zürich;8048;Hohlstrasse 430;Restaurant;Europäisch, Schweizerisch, Café, Bar, Restaurant;Mäßig teuer;374;0;4.256598985;Zentrum
362;Sushi Bar Oishi;Marktgasse 1;64;165;€€ - €€€;Kloten;8302;Aglo.;4.5;4.7;4.644104803;both;O i Shi Sushi Bar;Yes;Asiatisch, Japanisch, Sushi;Kloten;8302;Marktgasse 1;Sushi;Asiatisch, Japanisch, Sushi, Sushi;k. A.;229;3;4.612048193;Aglo.
363;SBB Restaurant Oase;Museumstrasse 1;7;600;;Zürich;8001;Kreis 1;4;4.2;4.197693575;both;Oase;Yes;Deutsch;Zürich;8001;Museumstrasse 1;Restaurant;Deutsch, Restaurant;k. A.;607;0;4.199202552;Zentrum
364;Obere Flühgasse;Flühgasse 69;72;153;€€ - €€€;Zürich;8008;Kreis 8;4.5;4.5;4.5;both;Obere Flühgasse;Yes;Europäisch, Schweizerisch, Mitteleuropäisch;Zürich;8008;Flühgasse 69;Schweizerisch;Europäisch, Schweizerisch, Mitteleuropäisch, Schweizerisch;Teuer;225;3;4.479183673;Zentrum
365;OH MY GREEK!;Kalkbreitestrasse 1;56;1233;€;Zürich;8003;Kreis 3;4.5;4.6;4.595655547;both;OH MY GREEK! ZH-Kalkbreite;Yes;Mediterran, Grillspezialitäten, Griechisch;Zürich;8003;Kalkbreitestrasse 1;Griechisch;Mediterran, Grillspezialitäten, Griechisch, Griechisch;k. A.;1289;1;4.590297937;Zentrum
366;Okay Italia;Gladbachstrasse 94;25;188;€€ - €€€;Zürich;8044;Kreis 7;3.5;4.2;4.117840376;both;Okay Italia;Yes;Europäisch, Italienisch, Pizza;Zürich;8044;Gladbachstrasse 94;Italienisch;Europäisch, Italienisch, Pizza, Italienisch;Price information not available;213;3;4.128755365;Zentrum
367;Old Fashion Bar;Fraumunsterstrasse 15;164;838;€€ - €€€;Zürich;8001;Kreis 1;3.5;4;3.918163673;both;Old Fashion Bar;Yes;Europäisch, Bar;Zürich;8001;Fraumünsterstrasse 15;Restaurant;Europäisch, Bar, Restaurant;Teuer;1002;3;3.924559687;Zentrum
368;Oliver Twist Pub Zürich;Rindermarkt 6;159;1561;€€ - €€€;Zürich;8001;Kreis 1;4;4.4;4.363023256;both;Oliver Twist Pub Zürich;Yes;Bar, Pub, Britisch;Zürich;8001;Rindermarkt 6;Pub;Bar, Pub, Britisch, Pub;Mäßig teuer;1720;3;4.361666667;Zentrum
369;ONA POKÉ;Bleicherweg 19;85;595;€€ - €€€;Zürich;8002;Kreis 2;4;4.3;4.2625;both;ONA POKÉ;Yes;Gesund, Hawaiianisch;Zürich;8002;Bleicherweg 19;Hawaiisch;Gesund, Hawaiianisch, Hawaiisch;Price information not available;680;3;4.262;Zentrum
370;One Point;Riedmuehlestrasse 2;4;204;;Bruttisellen;8306;Aglo.;4.5;4.2;4.205769231;both;One Point;Yes;Pizza, Fast Food;Wangen-Brüttisellen;8306;Riedmühlestrasse 2;Kebabimbiss;Pizza, Fast Food, Kebabimbiss;k. A.;208;0;4.209210526;Aglo.
371;Onyx Bar;Beethovenstrasse 21;102;284;€€€€;Zürich;8002;Kreis 2;4.5;4.4;4.42642487;both;ONYX Bar;Yes;Bar, International;Zürich;8002;Beethovenstrasse 21;Restaurant;Bar, International, Restaurant;Price information not available;386;4;4.417487685;Zentrum
372;OOKI;Zentralstrasse 53;156;1636;€€ - €€€;Zürich;8003;Kreis 3;4;4.7;4.6390625;both;Ooki Izakaya;Yes;Gesund, Japanisch, Suppen;Zürich;8003;Zentralstrasse 53;Japanisch;Gesund, Japanisch, Suppen, Japanisch;k. A.;1792;3;4.634713024;Zentrum
373;Osso;Zollstrasse 121;21;349;€€ - €€€;Zürich;8005;Kreis 5;4;4.3;4.282972973;both;Osso;Yes;Europäisch, Café, Bar;Zürich;8005;Zollstrasse 121;Restaurant;Europäisch, Café, Bar, Restaurant;Price information not available;370;3;4.281025641;Zentrum
374;Osteria Centrale;Nordstrasse 205;68;197;€€ - €€€;Zürich;8037;Kreis 10;4;4.4;4.297358491;both;Osteria Centrale;Yes;Europäisch, Italienisch, Mediterran;Zürich;8037;Nordstrasse 205;Restaurant;Europäisch, Italienisch, Mediterran, Restaurant;Mäßig teuer;265;3;4.293684211;Zentrum
375;Osteria Sazio;Seefeldstrasse 27;40;274;€€ - €€€;Zürich;8008;Kreis 8;4;4.4;4.349044586;both;Osteria Sazio;Yes;Italienisch, Speiselokal, Weinbars & Weinstuben;Zürich;8008;Seefeldstrasse 27;Italienisch;Italienisch, Speiselokal, Weinbars & Weinstuben, Italienisch;k. A.;314;3;4.342814371;Zentrum
376;Restaurant Outback Lodge;Stadelhoferstrasse 18;412;2141;€€ - €€€;Zürich;8001;Kreis 1;3.5;4.1;4.003172738;both;Outback Lodge;Yes;Bar;Zürich;8001;Stadelhoferstrasse 18;Australisch;Bar, Australisch;Mäßig teuer;2553;3;4.005052468;Zentrum
377;Restaurant Oval;Badenerstrasse 500;3;15;;Zürich;8048;Kreis 9;4.5;3.9;4;both;Oval;Yes;;Zürich;8048;Badenerstrasse 500;Schweizerisch;, Schweizerisch;k. A.;18;0;4.128947368;Zentrum
378;Pak Lok Haus;Bubentalstrasse 7;40;245;€€ - €€€;Zürich;8304;Aglo.;4.5;4.1;4.156140351;both;Pak Lok Haus;Yes;Chinesisch, Szechuan;Wallisellen;8304;Bubentalstrasse 7;Chinesisch;Chinesisch, Szechuan, Chinesisch;Mäßig teuer;285;3;4.161967213;Aglo.
379;Palestine Grill;Langstrasse 92;31;509;€;Zürich;8004;Kreis 4;4.5;4.5;4.5;both;Palestine Grill;Yes;Orientalisch;Zürich;8004;Langstrasse 92;Grillrestaurant;Orientalisch, Grillrestaurant;Price information not available;540;1;4.490892857;Zentrum
380;Paneolio;Cramerstrasse 8;109;261;€€ - €€€;Zürich;8004;Kreis 4;4;4.3;4.211621622;both;Paneolio;Yes;Europäisch, Italienisch, Mediterran;Zürich;8004;Cramerstrasse 8;Italienisch;Europäisch, Italienisch, Mediterran, Italienisch;Teuer;370;3;4.213333333;Zentrum
381;Panorama Restaurant Albisgütli;Uetlibergstrasse 331;4;36;€€ - €€€;Zürich;8045;Kreis 3;4.5;4.4;4.41;both;Panorama-Stube Albisgütli;Yes;Europäisch, Schweizerisch;Zürich;8045;Uetlibergstrasse 331;Schweizerisch;Europäisch, Schweizerisch, Schweizerisch;Günstig;40;3;4.355;Zentrum
382;Pantheon Steakhouse;Limmattalstrasse 400;57;837;€€ - €€€;Zürich;8049;Kreis 10;4;4.7;4.655369128;both;Pantheon Steakhouse;Yes;Schweizerisch, Pizza, Steakhaus;Zürich;8049;Limmattalstrasse 400;Italienisch;Schweizerisch, Pizza, Steakhaus, Italienisch;Mäßig teuer;894;3;4.646389497;Zentrum
383;Papa Joes Zürich;Schifflände 18;478;2371;€€ - €€€;Zürich;8001;Kreis 1;3.5;3.9;3.832888733;both;Papa Joe's Zürich;Yes;Bar, Amerikanisch, Mexikanisch;Zürich;8001;Schifflände 18;Amerikanisch;Bar, Amerikanisch, Mexikanisch, Amerikanisch;Mäßig teuer;2849;3;3.835761589;Zentrum
384;Parea;Zentralstrasse 161;16;330;€€ - €€€;Zürich;8003;Kreis 3;4;4.6;4.572254335;both;Parea;Yes;Mediterran, Griechisch;Zürich;8003;Zentralstrasse 161;Griechisch;Mediterran, Griechisch, Griechisch;k. A.;346;3;4.554371585;Zentrum
385;Patisserie Goranac;Friesstrasse 24;5;108;;Zürich;8050;Kreis 11;4;4.5;4.477876106;both;Patisserie Goranac;Yes;;Zürich;8050;Friesstrasse 24;Patisserie;, Patisserie;Price information not available;113;0;4.442857143;Zentrum
386;Restaurant Payam;Am Wasser 135;15;185;€€ - €€€;Zürich;8049;Kreis 10;3;4.1;4.0175;both;Payam;Yes;Orientalisch, Persisch;Zürich;8049;Am Wasser 135;Persisch;Orientalisch, Persisch, Persisch;Price information not available;200;3;4.038181818;Zentrum
387;Peking Garden;Bahnhofstrasse 47;51;423;€€ - €€€;Dubendorf;8600;Aglo.;3;3.8;3.713924051;both;Peking Garden;Yes;Chinesisch;Dübendorf;8600;Bahnhofstrasse 47;Chinesisch;Chinesisch, Chinesisch;k. A.;474;3;3.735425101;Aglo.
388;Peking Garden Glattbrugg;Schaffhauserstrasse 58;50;880;€;Zürich;8152;Aglo.;3.5;3.9;3.878494624;both;Peking Garden Glattbrugg;Yes;Asiatisch, Thailändisch;Opfikon;8152;Schaffhauserstrasse 58;Chinesisch;Asiatisch, Thailändisch, Chinesisch;k. A.;930;1;3.886210526;Aglo.
389;Petit Saigon;Birmensdorferstrasse 126;37;283;€;Zürich;8003;Kreis 3;3.5;4.2;4.1190625;both;Petit Saigon;Yes;Asiatisch, Vietnamesisch;Zürich;8003;Birmensdorferstrasse 126;Vietnamesisch;Asiatisch, Vietnamesisch, Vietnamesisch;k. A.;320;1;4.126470588;Zentrum
390;La piccola Trattoria;Aemtlerstrasse 86;51;179;€€ - €€€;Zürich;8003;Kreis 3;4.5;4.4;4.422173913;both;Piccola Trattoria;Yes;Italienisch, Mediterran, Pizza;Zürich;8003;Aemtlerstrasse 86;Italienisch;Italienisch, Mediterran, Pizza, Italienisch;k. A.;230;3;4.408;Zentrum
391;Piccolo Giardino;Schöneggplatz 9;32;356;€€ - €€€;Zürich;8004;Kreis 4;4.5;4.5;4.5;both;Piccolo Giardino;Yes;Europäisch, Mitteleuropäisch;Zürich;8004;Schönegg-Platz 9;Mediterran;Europäisch, Mitteleuropäisch, Mediterran;Price information not available;388;3;4.4875;Zentrum
392;Pier 7;Limmatquai 7;1;187;;Zürich;8001;Kreis 1;5;4.6;4.60212766;both;Pier 7 AG;Yes;;Zürich;8001;Limmatquai 7;Restaurant;, Restaurant;Mäßig teuer;188;0;4.567788462;Zentrum
393;Più Europaallee;Kasernenstrasse 95;470;2169;€€ - €€€;Zürich;8004;Kreis 4;3.5;4.2;4.075331565;both;Più Europaallee;Yes;Italienisch, Mediterran, Pizza;Zürich;8004;Kasernenstrasse 95;Italienisch;Italienisch, Mediterran, Pizza, Italienisch;Mäßig teuer;2639;3;4.076607747;Zentrum
394;Più Schiffbau;Hardstrasse 259;162;1582;€€ - €€€;Zürich;8005;Kreis 5;4;4.3;4.272133028;both;Più Schiffbau;Yes;Italienisch, Mediterran, Pizza;Zürich;8005;Hardstrasse 259;Italienisch;Italienisch, Mediterran, Pizza, Italienisch;Price information not available;1744;3;4.271825397;Zentrum
395;Pizza Nation;Rosengasse 3;37;553;€;Zürich;8001;Kreis 1;5;4.9;4.906271186;both;Pizza Nation;Yes;Italienisch, Pizza, Fast Food;Zürich;8001;Rosengasse 3;Take Away;Italienisch, Pizza, Fast Food, Take Away;Price information not available;590;1;4.884590164;Zentrum
396;Pizza Züri;Badenerstrasse 558;84;443;€€ - €€€;Zürich;8048;Kreis 9;4;4.5;4.420303605;both;Pizza Züri;Yes;Italienisch, Mediterran, Pizza;Zürich;8048;Badenerstrasse 558;Italienisch;Italienisch, Mediterran, Pizza, Italienisch;k. A.;527;3;4.413893967;Zentrum
397;Pizzeria Giardino;Marktgasse 19;187;555;€€ - €€€;Kloten;8302;Aglo.;4;4.4;4.299191375;both;Pizzeria Giardino;Yes;Italienisch, Mediterran, Pizza;Kloten;8302;Marktgasse 19;Pizza;Italienisch, Mediterran, Pizza, Pizza;k. A.;742;3;4.297769029;Aglo.
398;Restaurant Pizzeria Piazza;Wehntalerstr. 546;30;398;€€ - €€€;Zürich;8046;Kreis 11;3.5;4.3;4.243925234;both;Pizzeria Piazza;Yes;Italienisch, Mediterran, Pizza;Zürich;8046;Wehntalerstrasse 546;Italienisch;Italienisch, Mediterran, Pizza, Italienisch;Price information not available;428;3;4.243973214;Zentrum
399;Pizzeria Veneziana;Usterstrasse 61;68;664;€;Dubendorf;8600;Aglo.;4.5;4.6;4.590710383;both;Pizzeria Veneziana;Yes;Italienisch, Mediterran, Pizza;Dübendorf;8600;Usterstrasse 61;Pizza;Italienisch, Mediterran, Pizza, Pizza;k. A.;732;1;4.581515957;Aglo.
400;Ploy Thai Restaurant;Uetlibergstrasse 38;20;149;€€ - €€€;Kloten;8045;Kreis 3;4;4.3;4.264497041;both;Ploy Thai Restaurant;Yes;Asiatisch, Thailändisch;Zürich;8045;Uetlibergstrasse 38;Thailändisch;Asiatisch, Thailändisch, Thailändisch;Mäßig teuer;169;3;4.262433862;Zentrum
401;Plüsch;Aemtlerstrasse 16;38;503;€€ - €€€;Zürich;8003;Kreis 3;3.5;4.4;4.336783734;both;Plüsch;Yes;Café, Bar, Pub;Zürich;8003;Aemtlerstrasse 16;Restaurant;Café, Bar, Pub, Restaurant;k. A.;541;3;4.333511586;Zentrum
402;Püente;Baumgasse 10;47;396;€€€€;Zürich;8005;Kreis 5;4.5;4.5;4.5;both;Püente Peruvian Restaurant;Yes;Spanisch, Peruanisch;Zürich;8005;Baumgasse 10;Restaurant;Spanisch, Peruanisch, Restaurant;Price information not available;443;4;4.488984881;Zentrum
403;Punto 9;Wallisellenstrasse 9;19;162;€€ - €€€;Dubendorf;8600;Aglo.;5;4.7;4.731491713;both;Punto 9;Yes;Europäisch, Italienisch, Mediterran;Dübendorf;8600;Wallisellenstrasse 9;Italienisch;Europäisch, Italienisch, Mediterran, Italienisch;k. A.;181;3;4.683084577;Aglo.
404;QQ Sushi Zürich;Stampfenbachstrasse 6;80;1168;€€ - €€€;Zürich;8001;Kreis 1;3.5;4.4;4.342307692;both;QQ Sushi Zürich;Yes;Asiatisch, Japanisch, Sushi;Zürich;8001;Stampfenbachstrasse 6;Sushi;Asiatisch, Japanisch, Sushi, Sushi;Mäßig teuer;1248;3;4.340772871;Zentrum
405;Qualitäts Kebab Haus;Wangenstrasse 37;1;184;;Dubendorf;8600;Aglo.;5;4.9;4.900540541;both;Qualitäts Kebap Haus;Yes;;Dübendorf;8600;Wangenstrasse 37;Restaurant;, Restaurant;k. A.;185;0;4.836585366;Aglo.
406;Quartier 5 River Bar;Hardturmstrasse 126;20;477;€€ - €€€;Zürich;8005;Kreis 5;3.5;4.1;4.075855131;both;Quartier5;Yes;Europäisch, Schweizerisch, Italienisch;Zürich;8005;Hardturmstrasse 126a;Restaurant;Europäisch, Schweizerisch, Italienisch, Restaurant;k. A.;497;3;4.082398453;Zentrum
407;Raclette Factory - Rindermarkt;Rindermarkt 1;591;2921;€€ - €€€;Zürich;8001;Kreis 1;4.5;4.4;4.416828018;both;Raclette Factory;Yes;Schweizerisch, Mitteleuropäisch;Zürich;8001;Rindermarkt 1;Schweizerisch;Schweizerisch, Mitteleuropäisch, Schweizerisch;k. A.;3512;3;4.41585504;Zentrum
408;Raclette-Stube;Zähringerstrasse 16;558;1267;€€ - €€€;Zürich;8001;Kreis 1;4;4.4;4.27769863;both;Raclette Stube;Yes;Europäisch, Schweizerisch, Mitteleuropäisch;Zürich;8001;Zähringerstrasse 16;Schweizerisch;Europäisch, Schweizerisch, Mitteleuropäisch, Schweizerisch;Price information not available;1825;3;4.277344173;Zentrum
409;Rashims Kitchen;Badenerstrasse 663;1;295;;Zürich;8048;Kreis 9;5;5;5;both;Rashim’s Kitchen;Yes;Indisch;Zürich;8048;;Indisch;Indisch, Indisch;Price information not available;296;0;4.95221519;Zentrum
410;Restaurant & Bar Razzia;Seefeldstrasse 82;477;790;€€€€;Zürich;8008;Kreis 8;4;4.3;4.187056038;both;Razzia;Yes;Europäisch, Asiatisch;Zürich;8008;Seefeldstrasse 82;Restaurant;Europäisch, Asiatisch, Restaurant;Price information not available;1267;4;4.187956488;Zentrum
411;Rechberg 1837;Chorgasse 20;114;272;€€ - €€€;Zürich;8001;Kreis 1;4.5;4.7;4.640932642;both;Rechberg 1837;Yes;Europäisch, Schweizerisch, Zeitgenössisch;Zürich;8001;Chorgasse 20;Restaurant;Europäisch, Schweizerisch, Zeitgenössisch, Restaurant;Teuer;386;3;4.621428571;Zentrum
412;Red Lion Kloten;Schaffhauserstrasse 147;140;448;€€ - €€€;Kloten;8302;Aglo.;5;4.7;4.771428571;both;Red Lion Restaurant;Yes;Asiatisch, Chinesisch, Sushi;Kloten;8302;Schaffhauserstrasse 147;Asiatisch;Asiatisch, Chinesisch, Sushi, Asiatisch;Mäßig teuer;588;3;4.754111842;Aglo.
413;Rémy Restaurant-bar;Kalkbreitestrasse 33;6;98;€€€€;Zürich;8003;Kreis 3;5;4.8;4.811538462;both;rémy restaurant-bar;Yes;Europäisch, Schweizerisch;Zürich;8003;Kalkbreitestrasse 33;Restaurant;Europäisch, Schweizerisch, Restaurant;k. A.;104;4;4.72016129;Zentrum
414;Residenz Restaurant, Spirgarten;Spirgartenstrasse 2;5;65;€€ - €€€;Zürich;8048;Kreis 9;4.5;4.5;4.5;both;Residenz Restaurant, Spirgarten Zürich-Altstetten;Yes;Schweizerisch;Zürich;8048;Spirgartenstrasse 2;Restaurant;Schweizerisch, Restaurant;k. A.;70;3;4.443333333;Zentrum
415;Restaurant Ö;Schaffhauserstrasse 335;198;197;€€ - €€€;Zürich;8050;Kreis 11;4.5;4.6;4.549873418;both;Restaurant & Bar Ö;Yes;Europäisch, Schweizerisch, Französisch;Zürich;8050;Schaffhauserstrasse 335;Europäisch;Europäisch, Schweizerisch, Französisch, Europäisch;Mäßig teuer;395;3;4.535180723;Zentrum
416;Talacker;Talacker 41;23;154;€€ - €€€;Zürich;8001;Kreis 1;4.5;3.9;3.977966102;both;Restaurant & Bar Talacker;Yes;;Zürich;8001;Talacker 41;Bar;, Bar;Price information not available;177;3;4.005076142;Zentrum
417;Restaurant & Bar Tschadun;Hamelirainstrasse 5;18;41;€€ - €€€;Kloten;8302;Aglo.;5;4.7;4.791525424;both;Restaurant & Bar Tschadun;Yes;Europäisch, Schweizerisch, Bar, Amerikanisch;Kloten;8302;Hamelirainstrasse 5;Restaurant;Europäisch, Schweizerisch, Bar, Amerikanisch, Restaurant;k. A.;59;3;4.653164557;Aglo.
