Name,Country,Year,Price,Rating,Rating Counter,Tastes
Valais AOC Heida Cooperation Wine Provins,Schweiz,2022,17.95,3.8,1003,"['41.3022%', '7.81882%', '77.1909%']"
Bree Free White alkoholfrei,Deutschland,,4.95,3.1,96,"['42.5%', '26.875%', '42.5%']"
Dézaley AOC Grand Cru B. Bovy,Schweiz,2022,23.50,3.6,210,"['29.133%', '0px', '60.0931%']"
Douro DOC Fabelhaft Branco Niepoort,Portugal,2021,10.95,3.4,1332,"['36.7711%', '1.31575%', '64.1465%']"
Lavaux AOC Saint-Saphorin Grand Cru Domaine du Burignon Ville de Lausanne,Schweiz,2022,17.95,4.1,233,"['34.4174%', '0px', '59.2721%']"
Moscato d'Asti DOCG Araldica,Italien,2022,5.45,3.9,2585,"['29.5149%', '33.2535%', '0px']"
Sancerre AOC Sauvignon Blanc La Fuzelle Adrien Maréchal,Frankreich,2023,20.50,4.0,247,"['19.9304%', '4.98383%', '65.9254%']"
Alsace AOP Riesling Blanck,Frankreich,2023,14.95,3.7,1855,"['43.3742%', '21.8904%', '78.6047%']"
Piemont DOC Blange Arneis Langhe Ceretto,Italien,2022,22.95,3.9,17498,"['55.3766%', '25.5671%', '51.6427%']"
Riesling Gutswein trocken Pfalz Dr. Bürklin-Wolf,Deutschland,2021,15.95,3.8,4771,None
Ticino DOC Majalis Bianco di Merlot,Schweiz,2022,14.80,3.7,3160,None
Ticino DOC Merlot Bianco Gambarogno,Schweiz,2022,16.95,3.7,192,None
Valisiana Heida du Valais AOC,Schweiz,,9.95,3.9,1979,"['45.0269%', '20.8632%', '73.0546%']"
Zürich AOC Goldküste Federweisser,Schweiz,2022,13.50,4.0,2001,None
Chardonnay Bourbon Barrel Aged California 1000 Stories,USA,2021,19.95,4.0,3551,"['85%', '36.94%', '41.9304%']"
Genève AOC Chardonnay Choully Domaine du Paradis,Schweiz,2022,13.50,3.3,133,"['49.703%', '14.8267%', '57.7475%']"
Quincy AOC Sauvignon Blanc Fournier Père et Fils,Frankreich,2022,14.95,3.9,401,"['5%', '0px', '80%']"
Rheinhessen QbA Grauer Burgunder Weingut Schales,Deutschland,2022,10.95,3.7,340,"['47.4601%', '5.36656%', '32.7684%']"
Rioja DOCa White Art Collection Bodegas Faustino,Spanien,2023,6.95,3.7,1524,"['54.3466%', '53.6659%', '15.5802%', '55.2377%']"
Sicilia DOC Regaleali bianco Tasca d'Almerita,Italien,2022,12.50,3.7,13450,None
Valais AOC Fendant Balavaud Vétroz Grand Cru Chasselas Domaine Jean-René Germanier,Schweiz,2022,18.95,3.7,730,"['28.6225%', '5.00743%', '65.1658%']"
Zeni Bianco di Custoza DOC,Italien,2023,6.50,3.7,408,"['65.9132%', '18.3741%', '54.0283%']"
Alsace AOP Gewürztraminer Blanck,Frankreich,2022,19.95,3.9,2182,"['66.3858%', '44.8391%', '24.8124%']"
Alsace Grand Cru Pfersigberg AOP Gewürztraminer,Frankreich,2018,20.95,4.1,652,"['61.5895%', '52.6653%', '21.3353%']"
Bierzo DO Godello El Zarzal Bodegas Emilio Moro,Spanien,2021,21.95,4.0,3249,None
Vaud Chasselas Grand Cru L'Arquebuse Cave de Bonvillars,Schweiz,2022,7.95,3.5,130,"['26.6698%', '7.87698%', '60.7905%']"
Weisser Burgunder trocken Weingut Katrin Wind Pfalz,Deutschland,2021,12.95,3.6,103,"['36.2821%', '10.4749%', '64.8436%']"
Yellow Tail Sauvignon Blanc Casella Family,Australien,2022,8.50,3.4,3720,"['39.9916%', '3.39901%', '67.7618%']"
Zürichsee AOC Räuschling Schwarzenbach Weinbau,Schweiz,2022,21.95,3.6,138,None
Châteauneuf-du-Pape AOP Blanc Mont Redon,Frankreich,2022,37.95,4.0,1726,None
Fiano di Avellino DOCG Le Grade Vinosia,Italien,2022,16.00,3.8,701,"['57.1693%', '13.0879%', '32.9913%']"
Gavi di Gavi DOCG La Doria La Doria San Cristoforo,Italien,2022,9.95,3.4,801,"['22.3789%', '1.27995%', '74.6263%']"
Genève AOC Chasselas,Schweiz,2022,11.95,3.4,404,"['28.8433%', '1.81477%', '68.8485%']"
Marlborough Sauvignon Blanc Te Koko Cloudy Bay,Neuseeland,2020,62.50,4.2,10423,"['36.0331%', '6.48596%', '77.0988%']"
Niederösterreich Sand Muskateller Pfaffl,Österreich,2022,12.50,3.9,243,"['30.2408%', '31.0223%', '79.966%']"
Pessac-Léognan AC Château Lespault-Martillac blanc,Frankreich,2018,34.50,4.0,418,"['69.7876%', '12.5862%', '46.1201%']"
Pfalz QbA Weissburgunder Vom Kalkmergel Weingut Arnold,Deutschland,2022,12.95,3.8,436,"['40.2%', '4.27037%', '68.4991%']"
Santenay Françoise et Denis Clair 6x 75cl,Frankreich,2023,141.00,3.8,443,"['33.3078%', '24.7725%', '6.60341%', '64.6995%']"
Sauvignon Blanc Slavonija Kroatien Galic,Kroatien,2022,19.50,4.1,1556,"['21.4897%', '13.0148%', '67.3967%']"
Valais AOC Fendant de Vétroz Les Terrasses,Schweiz,2023,14.95,3.6,1158,"['28.1774%', '0px', '66.7385%']"
Valais AOC Fendant Leon Chai du Baron,Schweiz,2023,14.95,3.8,222,"['31.5727%', '12.4561%', '60.4768%']"
Valais AOC Siccus Johannisberg,Schweiz,2022,19.95,4.0,388,"['44.7376%', '27.4862%', '63.8398%']"
Vaud AOC L'Arbalète Dézaley Grand Cru Testuz,Schweiz,2022,14.95,3.8,484,"['35.4773%', '7.3348%', '61.3424%']"
Venezie IGT Masianco Masi,Italien,2023,13.95,3.6,14515,"['50.9998%', '17.7047%', '47.4092%']"
Vinho Regional Lisboa Vinho Branco Vale de Mata,Portugal,2021,17.50,2.4,50,"['17.5%', '5%', '42.5%']"
Zürich AOC Staatsschreiber Sauvignon Blanc,Schweiz,2023,19.95,4.2,187,"['48.7027%', '22.7568%', '62.8176%']"
Italia Pinot Grigio Dose 4x25cl,Italien,,7.80,3.5,1896,"['39.2007%', '10.9185%', '42.2996%']"
Neuchâtel AOC Chasselas Auvernier Domaine de Montmollin,Schweiz,2022,13.95,3.7,323,"['25.3974%', '4.29721%', '65.9737%']"
New Age refreshing sweet wine Argentina,Argentinien,2023,11.50,3.9,5892,"['41.8395%', '38.0611%', '47.5144%']"
Schaffhausen AOC Chardonnay Lindengelb Weingut Lindenhof,Schweiz,2021,23.95,4.0,54,"['58.2874%', '0px', '57.0561%']"
Valais AOC Fendant Domaine des Muses,Schweiz,2022,18.95,3.9,298,"['27.4859%', '1.70856%', '56.6164%']"
Valais AOC Heida Domaines des Virets,Schweiz,2022,14.95,3.9,251,"['43.5357%', '7.33333%', '77.9524%']"
Valais AOC Païen de Plamont La Rodeline,Schweiz,2020,26.95,3.7,83,"['36.25%', '10.5%', '80.75%']"
Vigneti delle Dolomiti IGT Norico Bianco Cavit,Italien,2022,8.50,3.6,352,"['55.1167%', '22.7472%', '52.2831%']"
Weinviertel DAC Grüner Veltliner Hund Pfaffl,Österreich,2021,11.95,3.8,3652,"['26.2376%', '9.26189%', '62.3685%']"
Valais AOC Johannisberg Leon Chai du Baron,Schweiz,2022,17.50,3.9,120,"['44.2989%', '20.25%', '79.8247%']"
Bündner Riesling-Silvaner AOC,Schweiz,2022,15.50,3.9,352,None
Genève AOC Chasselas Feuille d'Or,Schweiz,2022,9.95,3.0,112,"['28.4657%', '0px', '67.6618%']"
Graves AOC Blanc Château Les Clauzots,Frankreich,2022,8.75,3.7,328,"['62.9129%', '4.57014%', '48.2511%']"
Rueda DO Verdejo Sangre de Toro Miguel Torres,Spanien,2021,9.95,3.7,2780,"['21.2899%', '21.8758%', '52.5301%']"
Valais AOC Bibacchus Amigne,Schweiz,2022,15.95,3.8,196,None
Veneto IGT Passione Sentimento Bianco,Italien,2021,12.90,4.0,7776,"['63.6011%', '32.8532%', '47.9946%']"
Vermentino IGT Toscana Santa Cristina,Italien,2022,9.50,3.6,746,"['33.5779%', '21.073%', '59.5009%']"
Vully AOC Rochecombe Domaine de Villarose,Schweiz,2022,12.95,3.6,167,"['35.0676%', '14.7973%', '57.3649%']"
Weinviertel DAC Grüner Veltliner Edition Peter Keller Black Edition Weingut Ebner-Ebenauer,Österreich,2019,46.50,4.2,212,"['44.5856%', '14.5825%', '58.586%']"
Vin Blanc & Pêche Very peach,Frankreich,,4.95,2.8,36,None
Genève AOC Aligoté Domaine du Paradis,Schweiz,2022,13.50,3.3,150,None
Lavaux AOC Villette Fraidieu Domaine Louis Bovard,Schweiz,2021,17.50,3.9,143,"['25.4625%', '2.28594%', '58.2359%']"
Magnum Valais AOC Johannisberg Porte Novembre Maison Gilliard,Schweiz,,44.95,4.2,4914,"['44.8854%', '38.7914%', '69.9718%']"
Moscato d'Asti DOCG Saracco Paolo,Italien,2023,16.50,4.1,14129,None
Nahe QbA Riesling Karthäuser Weingut Tesch,Deutschland,2022,19.95,3.8,1091,"['46.7311%', '6.32207%', '82.9277%']"
Niederösterreich Grüner Veltliner Reserve Sauberg Ebner-Ebenauer,Österreich,2019,28.95,3.9,252,"['29.9806%', '10.1423%', '67.0618%']"
Pinot Grigio Tüzkö Ungarn,Ungarn,2022,7.50,3.7,258,"['39.0304%', '0px', '49.1419%']"
Salento IGP Vermentino Vecchia Torre,Italien,2023,9.50,3.8,3293,"['60.2041%', '5.45251%', '37.2168%']"
Slow Food Bio Wagram DAC Roter Veltliner Wimmer-Czerny,Österreich,2021,19.95,3.7,493,"['20.8895%', '21.3647%', '85%']"
Ticino DOC Cherubino Bianco di Merlot Matasci,Schweiz,2022,18.95,3.8,417,None
Ticino DOC Merlot Bianco Terre di Gudo,Schweiz,2022,9.95,3.7,852,None
Valais AOC Heida de Vex Clos de la Couta Jean-René Germanier,Schweiz,2022,27.95,4.0,228,"['39.6073%', '19.6662%', '80.6584%']"
Vermentino IGT Toscana Santa Cristina,Italien,2023,9.50,3.6,746,"['33.5779%', '21.073%', '59.5009%']"
Albizzia Frescobaldi Chardonnay Toscana IGT,Italien,2022,9.95,3.6,3851,"['39.7118%', '19.7613%', '62.2503%']"
Grüner Veltliner Lion Sohm & Kracher,Österreich,2022,15.30,3.9,1476,"['20.7197%', '2.41142%', '67.0296%']"
Lavaux AOC Grand Cru Saint-Saphorin Domaine du Burignon,Schweiz,2022,17.50,3.7,205,"['28.6279%', '3.70357%', '57.9964%']"
Moscato d'Asti DOCG Araldica,Italien,2023,5.45,3.9,2585,"['29.5149%', '33.2535%', '0px']"
Sicilia DOC Sauvignon Blanc Urra di Mare Mandrarossa,Italien,2022,18.50,3.8,3470,"['57.1308%', '7.18465%', '44.2748%']"
Südsteiermark DAC Chardonnay Marienkreuz Muster.Gamlitz,Österreich,2021,16.95,3.7,205,"['43.2894%', '7.03125%', '52.9878%']"
Terre Siciliane IGT Catarratto Terre Rosse di Giabbascio Centopassi - Libera Terra Bio,Italien,2022,16.50,3.7,639,"['56.6986%', '3.65386%', '38.4586%']"
Ticino DOC Merlot Bianco Roncaia Vinattieri,Schweiz,2022,26.50,4.1,970,None
Ticino DOC Vallombrosa Bianco Tamborini,Schweiz,2021,19.50,3.8,513,None
Zürich AOC Rielsing-Sylvaner Weininger Weinkeller zum Stauffacher,Schweiz,2023,9.50,3.8,176,None
Neuchâtel AOC Chasselas Cave des Saint-Martin,Schweiz,2022,10.95,3.7,37,None
Neuchâtel AOC Chasselas Cave des Saint-Martin,Schweiz,2022,11.95,3.7,37,None
Valais AOC Dôle Blanche Chamoson Jean-Claude & Renaud Favre,Schweiz,2021,14.95,3.2,29,None
Vaud Pinot Blanc Spécialité Cave de Bonvillars,Schweiz,2020,15.95,3.7,158,"['42.5%', '29%', '34.1667%']"
Aargau AOC Frutillio,Schweiz,2022,11.50,4.3,25,None
Abruzzo DOC Trebbiano Prope Velenosi Vini,Italien,2021,14.95,3.7,263,"['40.3295%', '13.8231%', '61.8286%']"
Aigle Noir Viognier Pays D'Oc IGP,Frankreich,2023,11.95,3.5,1876,"['50.3234%', '49.6852%', '0.820038%', '61.5406%']"
Alsace AOC Gewürztraminer Burgreben Jean Huttard,Frankreich,2018,19.95,3.9,44,"['67.5%', '35%', '35.5%']"
Alsace AOC Gewürztraminer Graffengritt Domaine Vincent Stoeffler,Frankreich,2021,14.95,3.9,171,"['66.3286%', '37.7371%', '24.52%']"
Alsace AOC Pinot Gris Grand Cru Rangen Wolfberger,Frankreich,2019,29.95,4.2,523,"['55.3225%', '39.9408%', '35.0087%']"
Alsace AOC Pinot Gris Salzhof Domaine Vincent Stoeffler,Frankreich,2021,19.95,3.6,42,"['42.5%', '4.39189%', '35.9527%']"
Alsace AOC Riesling Lerchenberg Jean Huttard,Frankreich,2016,19.95,3.9,69,"['42.5%', '18.7158%', '79.8273%']"
Alsace AOC Riesling Mittelbourg Domaine Robert Roth,Frankreich,2018,19.95,3.8,96,"['44.0038%', '20.2256%', '80.5226%']"
Alsace AOC Riesling Terre Grès Robert Roth,Frankreich,2022,16.50,3.9,119,"['48.3306%', '15.9899%', '79.0504%']"
Alsace AOP Gewurztraminer Neuweg Domaine Gross,Frankreich,2022,24.95,4.1,482,"['67.5%', '32.238%', '19.741%']"
Alsace AOP Sonnenglanz Grand Cru Pinot Gris,Frankreich,2018,17.95,3.8,190,"['50.6028%', '40.3457%', '30.2323%']"
Alsace Grand Cru Ollwiller AOC Riesling,Frankreich,2019,20.95,3.7,2835,"['39.265%', '37.0863%', '73.0893%']"
Alsace Grand Cru Ollwiller AOP Riesling,Frankreich,2018,20.95,3.7,2835,"['39.265%', '37.0863%', '73.0893%']"
Alto Adige DOC Gewürztraminer Kellerei Kaltern - Caldaro,Italien,2022,25.00,3.8,7881,"['64.1097%', '39.603%', '29.2028%']"
Alto Adige DOC Pinot Bianco Kellerei Terlan,Italien,2022,18.95,4.2,10116,None
"AOP Alsace Grand Cru Goldert Gewurztraminer, Domaine Zind Humbrecht",Frankreich,2012,59.95,4.2,463,"['66.7441%', '53.6447%', '25.2404%']"
Araldica Gavi La Luciana DOCG,Italien,2023,8.95,3.6,2805,"['18.3237%', '0px', '77.7608%']"
Arbois AOC Vin Jaune Rolet Père et Fils,Frankreich,2015,45.00,4.1,424,"['79.3141%', '0px', '60.0788%']"
Arbois AOC Vin Jaune Rolet Père et Fils,Frankreich,2016,45.00,4.1,424,"['79.3141%', '0px', '60.0788%']"
Arbois DOP Savagnin Ouillé Domaine Rolet,Frankreich,2022,19.95,4.1,3158,"['24.7115%', '2.56066%', '85%']"
Auggener Gewürztraminer Spätlese Markgräflerland,Deutschland,2022,11.95,3.7,159,"['67.5342%', '49.2619%', '18.2708%']"
Basel-Landschaft AOC Kluseggler Riesling-Sylvaner Klushof,Schweiz,2022,13.95,3.3,34,None
Basel-Landschaft AOC Kluseggler Riesling-Sylvaner Klushof,Schweiz,2021,13.95,3.3,34,None
Basel-Landschaft AOC Kluser Burgeweg Cuvée Blanche,Schweiz,2019,13.50,3.5,45,None
Basel-Landschaft AOC Kluser Burgeweg Cuvée Blanche,Schweiz,2020,13.50,3.5,45,None
Basel-Landschaft AOC Kluser Burgeweg Cuvée Blanche,Schweiz,2021,13.50,3.5,45,None
Basel-Landschaft AOC Kluser Burgeweg Cuvée Blanche,Schweiz,,13.50,3.5,45,None
Basel-Landschaft AOC Pinot Gris Weingut Jauslin,Schweiz,2022,24.95,3.8,143,"['14.4419%', '20.5988%', '0px', '66.3799%']"
Basel-Stadt AOC Riehner Riesling-Sylvaner Schlipfer,Schweiz,2021,12.95,3.6,99,"['5%', '23.9615%', '17.5%']"
Bâtard-Montrachet Grand Cru Jean Chartron 3x 75cl,Frankreich,2023,1'125.00,4.5,248,"['62.0999%', '14.2895%', '48.5763%']"
Batroun MO Cuvée Altitudes White Ixsir,Libanon,2021,22.00,3.9,9619,"['64.7613%', '39.3285%', '19.0464%', '45.5056%']"
Beaune 1er Cru Les Grèves Le Clos Blanc 6x 75cl,Frankreich,2023,345.00,4.1,598,"['63.8118%', '10.3265%', '45.1959%']"
Bianco del San Giorgio Ticino DOC,Schweiz,2022,15.95,3.5,255,None
Bianco Sicilia DOC Grillo Parlante Fondo Antico,Italien,2022,16.50,3.8,1696,"['58.5079%', '8.68562%', '41.3607%']"
Bijelo 9 Cuvée Kutjevo Galić,Kroatien,2018,23.50,4.1,555,"['27.1291%', '10.5867%', '69.0513%']"
Bio La Côte AOC Chasselas Bio Be O,Schweiz,2022,12.50,3.7,84,"['30.7382%', '0.892718%', '55.7667%']"
Bio Naturaplan Lavaux AOC Saint Saphorin Domaine des Faverges,Schweiz,2023,17.50,3.6,607,None
Bio Valais AOC Rhin 13 Étoiles Cave du Rhodan,Schweiz,2022,20.95,4.0,33,"['34.75%', '5.71667%', '80%']"
Bolgheri DOC Vermentino Tenuta Guado al Tasso,Italien,2022,21.50,3.9,20846,None
Bordeaux AOP Blanc Bonhomme Château Peybonhomme les tours,Frankreich,2021,18.50,3.9,2641,"['63.1717%', '11.275%', '38.522%']"
Bordeaux AOP Blanc Bonhomme Château Peybonhomme les tours,Frankreich,2022,18.50,3.9,2641,"['63.1717%', '11.275%', '38.522%']"
Bündner Riesling-Silvaner AOC,Schweiz,2021,15.50,3.9,352,None
Burgenland Grüner Veltliner Haus & Hof Hannes Reeh,Österreich,2020,11.95,3.5,262,"['18.9358%', '5.22396%', '63.9991%']"
Calchaqui Blanco de Corte Amalaya,Argentinien,2020,15.95,3.9,4253,"['84.2764%', '56.6742%', '12.5308%', '63.8017%']"
Calchaqui Blanco de Corte Amalaya,Argentinien,2022,15.95,3.9,4253,"['84.2764%', '56.6742%', '12.5308%', '63.8017%']"
California Unoaked Chardonnay Joel Gott,USA,2022,14.95,3.7,4649,"['84.7926%', '34.1301%', '49.5207%']"
Cave des Coteaux Neuchâtel AOC,Schweiz,2023,10.95,3.7,798,None
Cave des Coteaux Neuchâtel AOC,Schweiz,2022,10.95,3.7,798,None
Chablais AOC Chasselas Le Caviste Blanc,Schweiz,2022,14.50,3.5,83,"['33.0851%', '0px', '57.6413%']"
Chablais AOC Yvorne Premier Grand Cru L'Ovaille,Schweiz,2021,29.95,4.0,213,"['39.8921%', '8.09646%', '67.0982%']"
Chablis La Moutonne Grand Cru 6x 75cl,Frankreich,2023,654.00,4.3,2335,"['42.4095%', '5.12374%', '64.6498%']"
Chardonnay Chile Gato Negro,Chile,2022,8.50,3.2,7959,"['59.4877%', '36.4221%', '19.5838%']"
Chardonnay Napa Valley The Prisoner,USA,2021,52.00,4.2,2589,"['83.3653%', '23.8589%', '35.1479%']"
Chardonnay Ojo Negro Dieter Meier,Argentinien,2020,22.95,3.9,255,"['40.2943%', '12.1806%', '47.928%']"
Chardonnay Santa Digna Miguel Torres,Chile,2022,13.50,3.5,2284,"['55.4377%', '36.9088%', '21.007%']"
Chardonnay South Australia Max's Penfolds,Australien,2019,21.50,3.4,12067,"['52.9292%', '11.785%', '51.4543%']"
Chardonne Noble Terre,Schweiz,2020,13.95,3.6,57,"['30.4515%', '0px', '65.7177%']"
Chassagne-Montrachet 6x 75cl,Frankreich,2023,329.70,4.3,3005,"['35.3595%', '21.0145%', '8.42272%', '64.0234%']"
Chassagne-Montrachet 1er Cru Morgeot 6x 75cl,Frankreich,2023,399.00,4.2,1354,"['35.528%', '23.2998%', '0.832225%', '62.6072%']"
Château la Louvière blanc Pessac-Léognan AC 6x 75cl,Frankreich,2022,189.00,4.0,1338,None
