Name,Country,Year,Price,Rating,Rating Counter,Tastes
Malbec Puro Mendoza Dieter Meier,Argentinien,2021,19.95,3.9,8730,None
Puglia IGT Primitivo Negroamaro Elettra Giordano,Italien,2022,11.70,4.3,2268,"['73.2888%', '37.2525%', '51.6478%', '31.029%']"
Terre Siciliane IGT Nero d'Avola Bromeus,Italien,2022,9.50,3.8,6021,"['79.2048%', '38.8506%', '36.0907%', '25.4391%']"
Ticino DOC Merlot Selezione d'Ottobre Matasci,Schweiz,2021,15.50,3.5,3615,"['53.7267%', '38.4706%', '8.14993%', '47.2032%']"
Cannonau di Sardegna DOC Costera Argiolas,Italien,2021,15.95,3.8,19449,"['66.8312%', '40.6196%', '8.57487%', '44.4077%']"
Vino Rosso d'Italia Tavernello,Italien,,2.95,3.2,6401,"['36.1219%', '32.6645%', '23.0792%', '43.0563%']"
Malbec Mendoza Argentina La Mascota 6x 75cl,Argentinien,2021,53.70,3.9,29690,"['63.9202%', '31.4716%', '20.9055%', '37.0037%']"
Chianti DOCG Rufina Riserva Frescobaldi Castello di Nipozzano,Italien,2020,19.95,3.8,66721,"['46.3218%', '57.192%', '4.37626%', '64.0216%']"
Naturaplan Bio Côtes du Rhône AOP Terra Amata,Frankreich,2022,7.95,3.4,1299,"['60.4723%', '49.1336%', '14.9678%', '52.8851%']"
Rioja DOCa Reserva Montes de Ciria 6x 75cl,Spanien,2019,38.70,3.7,611,"['57.47%', '62.7262%', '4.13379%', '58.8379%']"
Toscana IGT Lucente Frescobaldi,Italien,2021,19.50,3.6,44184,"['42.1008%', '38.5194%', '5.18006%', '45.0895%']"
Rioja DOCa Reserva Marqués de Riscal,Spanien,2019,20.95,4.1,227142,"['63.8968%', '59.2479%', '9.35047%', '59.4018%']"
Vaud AOC Assemblage Rouge L'As de Coeur Cave de Jolimont,Schweiz,2022,9.75,3.5,1419,None
Gigondas AOP Château Saint-André,Frankreich,2022,11.95,3.8,4057,"['80.3873%', '38.5045%', '7.8588%', '44.3695%']"
Naturaplan Bio Valais AOC Nez Noir Les Domaines Rouvinez,Schweiz,2022,14.95,3.9,1820,None
Châteauneuf-du-Pape AOP Château Saint-André,Frankreich,2022,22.95,3.8,4057,"['80.3873%', '38.5045%', '7.8588%', '44.3695%']"
Vino Nobile di Montepulciano DOCG Tenuta Trerose,Italien,2020,16.95,3.7,6851,"['54.2639%', '57.8856%', '8.63293%', '60.3615%']"
Primitivo del Salento IGT Vecchia Torre,Italien,2020,7.95,3.7,10087,"['62.9592%', '21.9642%', '40.8022%', '15.7737%']"
Ribera del Duero DO Tinto Fino Roble Legaris,Spanien,2021,19.10,3.4,143,"['63.6291%', '50.7997%', '0px', '61.8609%']"
Santa Ana Malbec Mendoza Reserve,Argentinien,2021,9.95,3.2,89,"['67.5%', '42.5%', '36.25%', '55%']"
Naturaplan Bio Alentejo DOC Colheita Marqués de Borba João Portugal Ramos,Portugal,2021,9.95,3.8,11571,"['58.4377%', '45.9334%', '17.1743%', '41.9552%']"
Cabernet Sauvignon California Robert Mondavi Private Selection,USA,2021,18.95,3.7,61063,None
Chianti Classico DOCG Riserva Ducale Ruffino,Italien,2020,19.95,3.9,59263,"['45.4545%', '54.768%', '2.65523%', '64.2123%']"
Naturaplan Bio-Corbières AOC Grand Vin du Château Pech-Latt,Frankreich,2022,14.95,3.3,64,"['42.5%', '0px', '55.6964%']"
Südtirol DOC Lagrein Alto Adige Collection KG Gries Baron Eyrl,Italien,2022,15.50,3.9,3013,"['60.4402%', '40.6391%', '15.8141%', '29.4184%']"
Rioja DOCa Gran Reserva Faustino I,Spanien,2011,16.75,4.1,92276,"['61.9755%', '58.0482%', '8.25259%', '59.6464%']"
Viña Sutil Reserva Cabernet Sauvignon Carmenère Colchagua Valley,Chile,2019,2.95,3.6,76,"['77.25%', '56.75%', '3.25%', '46.375%']"
Zürich AOC Blauburgunder Staatsschreiber Staatskellerei Zürich,Schweiz,2022,12.35,3.9,3433,"['3.13887%', '18.2008%', '16.7693%', '64.1058%']"
Malbec Puro Mendoza Dieter Meier,Argentinien,2021,19.95,3.9,8730,None
Puglia IGT Primitivo Negroamaro Elettra Giordano,Italien,2022,11.70,4.3,2268,"['73.2888%', '37.2525%', '51.6478%', '31.029%']"
Terre Siciliane IGT Nero d'Avola Bromeus,Italien,2022,9.50,3.8,6021,"['79.2048%', '38.8506%', '36.0907%', '25.4391%']"
Ticino DOC Merlot Selezione d'Ottobre Matasci,Schweiz,2021,15.50,3.5,3615,"['53.7267%', '38.4706%', '8.14993%', '47.2032%']"
Cannonau di Sardegna DOC Costera Argiolas,Italien,2021,15.95,3.8,19449,"['66.8312%', '40.6196%', '8.57487%', '44.4077%']"
Vino Rosso d'Italia Tavernello,Italien,,2.95,3.2,6401,"['36.1219%', '32.6645%', '23.0792%', '43.0563%']"
Malbec Mendoza Argentina La Mascota 6x 75cl,Argentinien,2021,53.70,3.9,29690,"['63.9202%', '31.4716%', '20.9055%', '37.0037%']"
Chianti DOCG Rufina Riserva Frescobaldi Castello di Nipozzano,Italien,2020,19.95,3.8,66721,"['46.3218%', '57.192%', '4.37626%', '64.0216%']"
Naturaplan Bio Côtes du Rhône AOP Terra Amata,Frankreich,2022,7.95,3.4,1299,"['60.4723%', '49.1336%', '14.9678%', '52.8851%']"
Rioja DOCa Reserva Montes de Ciria 6x 75cl,Spanien,2019,38.70,3.7,611,"['57.47%', '62.7262%', '4.13379%', '58.8379%']"
Toscana IGT Lucente Frescobaldi,Italien,2021,19.50,3.6,44184,"['42.1008%', '38.5194%', '5.18006%', '45.0895%']"
Rioja DOCa Reserva Marqués de Riscal,Spanien,2019,20.95,4.1,227151,"['63.8968%', '59.2479%', '9.3505%', '59.4017%']"
Primitivo Salento IGT Emporio Antonini 6x75cl,Italien,,79.00,3.9,1413,"['57.5244%', '18.4486%', '47.0234%', '17.5468%']"
Ripasso della Valpolicella Superiore DOC Bosan Cesari,Italien,2019,18.95,4.0,9811,None
Rioja Reserva DOCa Campo Viejo,Spanien,2017,15.95,3.8,80013,"['63.5443%', '59.8607%', '6.07064%', '61.5352%']"
Salice Salentino DOP Rosso Vecchia Torre,Italien,2019,8.95,3.7,5839,"['76.8326%', '40.7002%', '32.5704%', '28.2876%']"
Toscana IGT Santa Cristina Antinori,Italien,2022,9.95,3.6,66605,"['44.334%', '38.0874%', '8.58064%', '44.919%']"
Valais AOC Dôle de Salquenen Les Dailles 6x 75cl,Schweiz,2022,49.80,3.4,1997,"['12.5218%', '20.739%', '5.98163%', '73.4153%']"
Rioja DOCa Reserva Las Flores,Spanien,2019,11.95,3.6,2114,"['58.5512%', '57.0632%', '15.1756%', '64.2845%']"
Ticino DOC Merlot Roccolo,Schweiz,2020,7.95,3.5,1001,"['54.6854%', '38.7837%', '10.3125%', '47.3956%']"
Naturaplan Bio-Corbières AOP Prestige Château de Caraguilhes,Frankreich,2022,8.95,3.8,2014,"['62.4294%', '54.9714%', '6.46043%', '60.4294%']"
Toscana IGT Insoglio del Cinghiale Tenuta di Biserno,Italien,2022,23.95,4.0,28456,None
Rioja DOCa Reserva Mayor de Ondarre,Spanien,2018,19.95,3.9,4575,"['63.0523%', '61.6734%', '2.21818%', '61.7276%']"
Legaris Crianza Ribera del Duero DO,Spanien,2020,19.10,3.8,15456,"['66.2306%', '57.0645%', '12.8319%', '61.3341%']"
Amarone della Valpolicella DOCG classico Zeni,Italien,2021,24.95,4.2,15610,None
Mendoza Argentina Gran Reserva Bodega Septima,Argentinien,2021,21.50,4.1,36017,None
Douro DOC Quatro Ventos,Portugal,2021,6.95,3.8,11491,"['75.3702%', '54.4339%', '13.2694%', '42.4756%']"
Naturaplan Bio-Corbières Boutenac AOP Solus Château de Caraguilhes,Frankreich,2021,21.50,4.0,1818,"['67.3056%', '54.1928%', '20.5565%', '60.4398%']"
Valais AOC Humagne Rouge Terrasses du Rhône Bibacchus,Schweiz,2021,12.70,3.4,660,None
Primitivo di Manduria DOP 60 anni Sessantanni Feudi di San Marzano,Italien,2018,19.95,4.5,102252,None
Red Blend Mendoza Argentina Loco Selection Dieter Meier,Argentinien,2021,9.95,3.8,1234,"['71.6042%', '52.375%', '11.2354%', '43.1333%']"
Valdepeñas DO Tempranillo Pata Negra Oro 6x 75cl,Spanien,2021,19.80,3.6,53003,"['61.1316%', '50.0945%', '12.6278%', '38.1012%']"
Barbera d'Alba DOC Superiore Tenuta Cappallotto,Italien,2021,13.50,3.5,1014,"['52.9212%', '24.9485%', '14.0101%', '63.6937%']"
Valais AOC Syrah Jean-René Germanier,Schweiz,2022,19.95,3.8,3061,"['64.5458%', '58.5149%', '8.73389%', '55.6124%']"
Valais AOC Syrah Bibacchus,Schweiz,2022,14.95,3.4,1071,"['49.2275%', '51.0179%', '19.123%', '49.6345%']"
Primitivo del Salento IGP Barocco Reale Vecchia Torre,Italien,2017,17.95,4.1,6085,"['69.3402%', '26.1586%', '41.8424%', '16.0942%']"
"Pays d’Oc IGP Cabernet Sauvignon/Syrah J.P. Chenet, bag-in-box",Frankreich,,18.95,3.4,52092,"['55.081%', '49.9827%', '12.7035%', '55.3846%']"
Chianti Riserva DOCG Orlano,Italien,2019,11.50,3.6,350,"['41.9116%', '64.7541%', '0px', '68.8729%']"
Naturaplan Bio-Ribera del Duero DO Crianza Carmiña,Spanien,2019,11.20,3.9,492,"['56.183%', '61.6518%', '12.2674%', '54.4373%']"
Naturaplan Bio-Montepulciano d'Abruzzo DOC Jasci 6x 75cl,Italien,2020,39.90,3.3,64,"['42.5%', '0px', '55.6964%']"
Naturaplan Bio Siciliane Nero d'Avola Ophelia,Italien,2022,7.95,3.8,3215,"['71.7792%', '39.173%', '28.0086%', '33.6736%']"
Veneto IGT Fontanera Merlot,Italien,,2.10,2.8,370,"['37.3374%', '40.8633%', '9.67638%', '34.1011%']"
Pays d’Oc IGP Cabernet Sauvignon/Syrah J.P. Chenet,Frankreich,2022,6.95,3.4,52092,"['55.081%', '49.9827%', '12.7035%', '55.3846%']"
Ribera del Duero DO Reserva Legaris,Spanien,2019,27.70,4.0,4277,"['68.7845%', '59.3776%', '16.7589%', '59.6315%']"
Rioja DOCa Crianza Viña Real,Spanien,2019,8.95,3.6,16938,"['57.7312%', '58.6894%', '9.88322%', '60.6293%']"
Rioja DOCa Reserva Imperial Cune,Spanien,2018,37.50,3.8,38488,"['62.6304%', '59.946%', '7.86912%', '59.5939%']"
Primitivo di Manduria DOP Monte Sasso,Italien,2021,5.95,3.9,704,"['66.1114%', '37.7632%', '39.7118%', '33.3754%']"
Cabernet Sauvignon California Beringer Classics,USA,2021,9.95,3.6,826,"['85%', '57.987%', '18.5083%', '39.9455%']"
Château de Laussac Castillon Côtes de Bordeaux AOC,Frankreich,2019,22.95,3.8,1519,"['63.8156%', '59.9795%', '9.36066%', '62.7721%']"
Suisse VDP la Porte de Novembre Maison Gilliard,Schweiz,,19.95,4.1,1232,None
Valais AOC Pinot Noir Salquenen,Schweiz,2022,9.95,3.4,1997,"['12.5218%', '20.739%', '5.98163%', '73.4153%']"
Terre Siciliane IGP Tripudium Cantine Pellegrino,Italien,2021,11.70,3.7,2126,"['77.811%', '41.9123%', '26.0062%', '35.2102%']"
Aigle Les Murailles Rouge Pinot Noir Chablais AOC H. Badoux,Schweiz,2022,22.50,3.7,1835,"['12.6305%', '24.8305%', '9.30035%', '65.0276%']"
Naturaplan Bio AOP Châteauneuf-du-Pape Terra Amata,Frankreich,2022,24.95,3.8,937,"['78.5048%', '45.4183%', '13.4145%', '52.2222%']"
J.P. Chenet Cabernet-Syrah Vin de Pays d'Oc,Frankreich,2022,2.95,3.4,52092,"['55.081%', '49.9827%', '12.7035%', '55.3846%']"
Médoc AOC Cru Bourgeois Château Laffitte Laujac,Frankreich,2020,9.95,3.6,6327,"['69.4879%', '72.8185%', '2.63008%', '73.3591%']"
Loco Malbec Mendoza Selection Dieter Meier,Argentinien,2021,14.95,3.8,2291,"['65.9556%', '29.9253%', '20.9945%', '30.9249%']"
Naturaplan Bio Valais AOC Rebbio Jean-René Germanier,Schweiz,2022,13.95,3.6,841,None
Amarone della Valpolicella DOC Costasera Masi,Italien,2018,39.50,4.3,101155,"['85%', '23.5851%', '48.0385%', '23.011%']"
Ribera del Duero DO Tempranillo Bela Roble,Spanien,2021,11.20,3.8,4540,"['61.9947%', '52.3817%', '14.2437%', '58.9004%']"
Pinot Noir France Vin de Table AOP,Frankreich,,2.25,3.5,17913,None
Naturaplan Bio-Rioja DOCa Crianza Señorio de Arriezu,Spanien,2018,13.50,3.6,1391,"['57.2694%', '72.2273%', '1.49398%', '60.7747%']"
Valais AOC Cornalin Terrasses du Rhône Bibacchus,Schweiz,2022,16.95,3.5,942,"['42.5%', '37.8209%', '23.0896%', '55.0037%']"
Burgenland Qualitätswein Cuvée Reserve Big John Scheiblhofer,Österreich,2021,13.95,4.1,14730,None
Cabernet Sauvignon Chile Gran Reserva Cromas Los Vascos,Chile,2019,8.75,3.8,1833,"['73.191%', '45.6846%', '4.97648%', '42.1687%']"
Red Blend Clancy's Peter Lehmann,Australien,2021,8.75,3.6,7376,"['77.694%', '47.7018%', '20.1441%', '41.2907%']"
Ribera del Duero DO Tempranillo Roble Nebla Vicente Gandia,Spanien,2022,5.20,3.1,182,"['67.5%', '62.2235%', '0px', '67.9546%']"
Valais AOC Dôle Gloire du Rhône,Schweiz,2022,9.95,2.9,510,"['42.5%', '17.5%', '5%', '80%']"
Valais AOC Pinot Noir Saint-Léonard Domaines des Virets,Schweiz,2022,9.95,3.3,1928,"['0px', '18.2772%', '4.72028%', '66.9655%']"
Pauillac AOP Clos Châtelet,Frankreich,2019,14.95,3.9,188,"['67.564%', '77.3779%', '0px', '80%']"
19 Crimes Cali Red California - Snoop Dogg,USA,2020,14.95,3.7,29224,"['82.6035%', '48.6262%', '33.0833%', '59.112%']"
Mendoza Vineyards Malbec Gran Reserva,Argentinien,2021,17.95,3.9,9180,"['64.5358%', '25.1786%', '14.9646%', '35.1614%']"
Zinfandel Bourbon Barrel Aged California 1000 Stories,USA,2021,19.95,3.7,2887,"['80.7346%', '25.3651%', '48.6917%', '10.0713%']"
Naturaplan Bio Saint-Emilion AOC Château Guibeau Puisseguin,Frankreich,2021,16.95,3.7,2036,"['72.3222%', '59.3399%', '4.31376%', '54.3134%']"
Ribera del Duero DO Conde de San Cristóbal,Spanien,2020,16.45,3.9,14260,"['63.9522%', '50.9235%', '12.3634%', '54.4953%']"
Château Grand Ormeau Lalande de Pomerol AOC,Frankreich,2020,20.95,4.0,3625,"['69.1535%', '50.6538%', '4.63392%', '47.1446%']"
Cabernet Sauvignon Napa Valley Black Stallion,USA,2020,29.95,4.1,37916,"['85%', '52.0291%', '8.76091%', '52.5124%']"
Rioja DOCa Crianza Bodegas Izadi,Spanien,2020,14.95,3.7,89102,"['62.1426%', '60.5804%', '7.53641%', '59.6925%']"
Valais AOC Pinot Noir Hurlevent Les Fils de Charles Favre,Schweiz,2022,15.95,3.5,1938,"['2.78105%', '27.3874%', '9.75501%', '75.5429%']"
Douro DOC Fabelhaft Niepoort,Portugal,2021,8.95,3.7,18853,"['79.2556%', '53.4931%', '9.54613%', '44.9907%']"
Grand Barossa Cabernet Sauvignon Château Tanunda,Australien,2021,19.95,3.9,4119,"['66.766%', '57.8428%', '7.84004%', '54.4493%']"
Naturaplan Bio-Aude Hauterive IGP Cigalus Rouge Gérard Bertrand,Frankreich,2021,35.95,3.6,30740,"['62.8735%', '48.3212%', '4.80374%', '54.1456%']"
Côtes-du-Rhône AOP Grand Palais Bag in Box,Frankreich,,11.95,2.9,321,"['55.0936%', '40.0219%', '0px', '63.4708%']"
Dell'Arca Antonini Primitivo Salento IGT,Italien,2022,2.95,3.3,2804,"['60.6744%', '30.3571%', '36.4683%', '26.7461%']"
Naturaplan Bio Yecla DO Campo Arriba,Spanien,2021,9.95,3.6,7683,"['74.3327%', '46.8605%', '9.82712%', '49.9529%']"
Amarone della Valpolicella DOCG Palazzo Maffei,Italien,2021,27.50,4.1,7935,"['85%', '20.2716%', '51.3748%', '23.7106%']"
Bardolino classico Zeni DOC,Italien,2022,3.95,3.4,2004,"['45.3025%', '35.4697%', '17.9722%', '32.5168%']"
Naturaplan Bio Douro DOC Quinta do Vallado,Portugal,2020,16.95,3.8,26904,None
Ticino DOC Merlot Riserva Roncaia Vinattieri Ticino,Schweiz,2021,19.95,4.1,970,None
Fuego Tempranillo La Mancha DO Bag in Box,Spanien,,11.95,3.2,538,"['70.5419%', '63.0047%', '4.25621%', '37.8463%']"
Brunello di Montalcino DOCG Della Robbia,Italien,2018,22.50,3.6,3075,"['45.002%', '59.9685%', '17.8452%', '61.5488%']"
Pinotage SA Kadette Kanonkop,Südafrika,2021,9.95,3.9,16606,None
Ticino DOC Merlot Merlino,Schweiz,2019,14.95,3.7,381,"['50.8096%', '36.0661%', '17.4249%', '46.3912%']"
Naturaplan Bio Rioja DOCa Reserva Señorio de Arriezu,Spanien,2015,11.95,3.6,898,"['64.7394%', '60.096%', '10.7911%', '60.8018%']"
Rioja DOCa Gran Reserva Viña Real,Spanien,2017,23.95,4.1,7514,"['61.1004%', '58.5951%', '8.28181%', '60.9006%']"
Savigny-les-Beaune AOC Albert Bichot,Frankreich,2020,20.60,3.8,1467,"['29.7332%', '22.5397%', '1.46166%', '67.0109%']"
Naturaplan Bio Carmenère Cabernet Novas Gran Reserva Colchagua Valley D.O. Chile,Chile,2019,9.95,3.7,11062,"['85%', '56.6698%', '8.03199%', '44.29%']"
Tenuta Montalbano Merlot Ticino DOC,Schweiz,2020,16.95,3.3,274,"['54.5762%', '39.4695%', '0px', '46.0787%']"
Fine Food Ribera del Duero DO Reserva Pago de los Capellanes,Spanien,2020,28.45,4.2,19717,None
Fleurie Les trois Pucelles AOC,Frankreich,2021,10.95,3.1,433,"['0px', '9.07961%', '0.0509925%', '83.5124%']"
Schaffhausen AOC Blauburgunder Wilchinger,Schweiz,2022,6.70,3.4,190,"['9.89015%', '21.142%', '11.5379%', '73.4508%']"
Carignano DOC Riserva Rocca Rubia Cantina di Santadi,Italien,2020,21.95,4.0,23906,None
Château Franc Grace-Dieu Grand Cru St-Emilion AOC,Frankreich,2020,24.95,3.7,3343,"['71.4985%', '58.7682%', '3.41697%', '54.8274%']"
Fleurie Les trois Pucelles AOC,Frankreich,2021,10.95,3.1,433,"['0px', '9.07961%', '0.0509925%', '83.5124%']"
Naturaplan BIO Schaffhausen AOC Hallauer Regent Graf von Spiegelberg,Schweiz,2022,13.95,4.0,109,None
Vaudois AOC Salvagnin Vaudois Monastier,Schweiz,2022,6.95,3.0,160,None
Chianti Classico DOCG Riserva La Madonnina Triacca,Italien,2019,14.95,3.5,3292,"['45.6933%', '60.8658%', '0.791398%', '63.5052%']"
Faugères AOC Mas Gabinèle,Frankreich,2020,24.95,3.8,2282,"['64.318%', '54.3339%', '17.8539%', '58.7273%']"
Naturaplan Bio Rosso Toscana IGT Raphael Dal Bo,Italien,2021,16.50,3.9,222,"['46.5364%', '35.997%', '11.3242%', '35.997%']"
Cabernet Sauvignon California Round Hill,USA,2020,5.95,3.7,5706,"['78.8664%', '49.3331%', '16.1138%', '42.7983%']"
Merlot Veneto Fagiani Antonini,Italien,2022,4.20,3.3,278,"['64.5348%', '46.9842%', '13.6994%', '20.8418%']"
Santenay AOC Domaine Françoise & Denis Clair,Frankreich,2021,22.95,3.8,443,"['33.3078%', '24.7725%', '6.60341%', '64.6995%']"
Shiraz Cabernet South Australia Max's Penfolds,Australien,2020,21.50,3.9,10189,"['85%', '48.1356%', '8.14741%', '44.1676%']"
Cabernet Sauvignon Mendoza La Mascota 6x 75cl,Argentinien,2021,53.70,3.8,26860,"['64.6496%', '53.2143%', '8.06628%', '44.8341%']"
Jeninser AOC Pinot Noir Steinhuhn,Schweiz,2022,13.50,3.6,390,"['0.0081325%', '19.3303%', '5.48984%', '66.9522%']"
Bolgheri DOC Poggio ai Ginepri Tenuta Argentiera,Italien,2022,23.00,3.8,15252,None
Cabernet Sauvignon California Stone Eagle,USA,2022,4.95,3.2,254,"['83.574%', '49.4439%', '9.74362%', '42.3648%']"
Pays d'Oc IGP Cuvée Rouge H de l'Hospitalet Gérard Bertrand,Frankreich,2022,14.50,3.8,264,"['62.7585%', '54.0796%', '0px', '51.7386%']"
Primitivo di Manduria DOC Collection Giordano,Italien,2022,6.95,3.8,11426,"['65.8689%', '23.6765%', '41.9515%', '15.3833%']"
