Name,Country,Year,Price,Rating,Rating Counter,Tastes
Chianti Classico DOCG Riserva Sangiovese Monsenese San Leonino,Italien,2018,27.95,4.0,1846,"['42.8756%', '57.6844%', '4.945%', '64.9139%']"
Chianti Classico DOCG Riserva Villa Antinori,Italien,2019,22.50,4.0,45107,None
Chianti DOCG Superiore Vegante Sensi,Italien,2019,16.50,3.4,1347,"['34.5942%', '51.2811%', '4.10929%', '65.1574%']"
Chivite Navarra Coleccion 125,Spanien,2015,29.95,3.9,969,"['67.0592%', '48.519%', '8.44886%', '42.067%']"
Cigales DO Tempranillo Reserva Museum,Spanien,2019,19.90,4.0,870,"['71.1058%', '46.0217%', '23.4917%', '36.1008%']"
Cigales Tempranillo Vinea Crianza Museum,Spanien,2020,14.90,3.7,6920,"['71.7677%', '54.1274%', '9.83244%', '35.332%']"
Clos des Jacobins Saint-Emilion AOC,Frankreich,2019,39.95,4.1,4427,"['73.8129%', '57.6686%', '9.1109%', '52.5818%']"
Clos des Jacobins Saint-Emilion AOC,Frankreich,2021,27.50,4.1,4427,"['73.8129%', '57.6686%', '9.1109%', '52.5818%']"
Clos des Jacobins Saint-Emilion AOC,Frankreich,2018,42.95,4.1,4427,"['73.8129%', '57.6686%', '9.1109%', '52.5818%']"
Clos-de-Vougeot Grand Cru 6x 75cl,Frankreich,2023,1'194.00,4.4,2627,"['43.0264%', '30.7185%', '15.2296%', '69.3408%']"
Clos Saint-Denis Grand Cru 3x 75cl,Frankreich,2023,987.00,4.2,836,"['44.5997%', '36.0569%', '2.17469%', '73.5724%']"
Colline Pescaresi IGP Kudos Rosso Tenuta Talamonti,Italien,2017,19.95,3.8,646,"['64.0913%', '46.1815%', '19.1633%', '36.659%']"
Corbières AOC Château d'Aussières,Frankreich,2019,24.50,3.7,6320,None
"Cornas AOP La Sabarotte, Courbis 6x 75cl",Frankreich,2022,345.00,4.3,609,"['85%', '54.9437%', '10.337%', '55.9986%']"
"Cornas AOP Les Eygats, Courbis",Frankreich,2016,42.50,4.1,914,"['80.9376%', '53.3733%', '6.4811%', '57.1392%']"
"Cornas AOP Les Eygats, Courbis 6x 75cl",Frankreich,2022,291.00,4.1,914,"['80.9376%', '53.3733%', '6.4811%', '57.1392%']"
Corton Clos du Roy Grand Cru 6x 75cl,Frankreich,2023,437.70,4.3,899,"['35.649%', '24.3478%', '9.69351%', '65.8978%']"
Corton-Perrières Dubreuil-Fontaine Père Et Fils 6x 75cl,Frankreich,2023,419.70,4.4,554,"['62.9662%', '4.09624%', '47.2182%']"
Corvo Rosso Sicilia IGP,Italien,2018,8.95,3.6,74,"['85%', '41.8963%', '15.9548%', '26.4149%']"
Cos Labory St.Estèphe,Frankreich,2016,49.95,4.0,9574,None
Costa Toscana IGT Kepos di Ampeleia,Italien,2020,27.50,3.8,2481,"['43.7007%', '43.1515%', '7.67388%', '50.1668%']"
Costers del Segre DO Ànima de Raimat,Spanien,2019,14.50,3.8,3932,"['41.814%', '9.43598%', '52.4543%']"
Costers del Segre DO Vilosell Tomàs Cusiné,Spanien,2018,17.50,3.8,5376,None
Costers del Segre DO Vilosell Tomàs Cusiné,Spanien,2020,17.50,3.8,5376,None
Côte-Rôtie AOC Brune et Blonde,Frankreich,2020,59.95,4.0,1923,"['71.098%', '69.9155%', '8.40067%', '63.5554%']"
