Name,Land,Jahr,Preis,Bewertung,Anzahl Bewertungen,In Aktion,Farbe,Leicht / Üppig,Sanft / Tanninhaltig,Trocken / Süss,Weich / Säurehaltig,Preis/Rating,Rating/Preis,Robert Parker
Chardonnay Private Selection R. Mondavi,USA,2021,18.95,3.6,16199,0,W,83.6511,36.9407,45.8302,,5.263888889,0.189973615,Keine Punktzahl
Chardonnay Santa Digna Miguel Torres,Chile,2022,13.5,3.5,2284,0,W,55.4377,36.9088,21.007,,3.857142857,0.259259259,Keine Punktzahl
Chardonnay Scotch Barrel Aged 1924 Wines,USA,2019,17.95,4,2564,0,W,83.3854,37.8193,39.708,,4.4875,0.222841226,Keine Punktzahl
Chardonnay South Australia Maxs Penfolds,Australien,2019,21.5,3.4,12067,0,W,52.9292,11.785,51.4543,,6.323529412,0.158139535,92.2
Chardonnay South Australia Penfolds Yattarna Bin 144,Australien,2019,190,4.2,52,0,W,52.4653,14.1397,49.7059,,45.23809524,0.022105263,92.2
Chardonnay South Eastern Australia Kangaroo Ridge,Australien,2022,6.95,3,716,0,W,52.1505,14.4341,49.7003,,2.316666667,0.431654676,Keine Punktzahl
Chardonne Noble Terre,Schweiz,2020,13.95,3.6,57,0,W,30.4515,0,65.7177,,3.875,0.258064516,Keine Punktzahl
Chasselas aus Südbaden,Deutschland,2022,4.5,3.3,195,0,W,42.5,17.2802,44.7284,,1.363636364,0.733333333,Keine Punktzahl
Chasselas de Romandie Vin de Pays Sélection Le Muriset,Schweiz,2023,5.95,3.1,414,0,W,22.6056,0,61.4833,,1.919354839,0.521008403,Keine Punktzahl
Château Beau-Séjour Bécot Saint-Emilion 1er Grand Cru Classé B AOC,Frankreich,2020,69.95,4.3,12798,0,R,72.452,54.6703,10.2438,52.7741,16.26744186,0.06147248,93.5
Château Beau-Séjour Bécot Saint-Emilion AOC 1er Grand Cru Classé B,Frankreich,2016,69,4.3,12798,0,R,72.452,54.6703,10.2438,52.7741,16.04651163,0.062318841,94.1
Château Beauregard Pomerol AOC,Frankreich,2018,74.95,4.2,8375,0,R,73.1578,55.4083,8.47892,52.8601,17.8452381,0.056037358,92.9
Château Beauregard Pomerol AOC,Frankreich,2019,69.95,4.2,8375,0,R,73.1578,55.4083,8.47892,52.8601,16.6547619,0.060042888,94.9
Château Beauregard Pomerol AOC,Frankreich,2020,69.95,4.2,8375,0,R,73.1578,55.4083,8.47892,52.8601,16.6547619,0.060042888,93.5
Château Beauregard Pomerol AOC,Frankreich,2016,84.95,4.2,8375,0,R,73.1578,55.4083,8.47892,52.8601,20.22619048,0.049440848,94.1
Château Brane-Cantenac Margaux AC 2ème Cru Classé,Frankreich,2020,74.95,4.2,25500,0,R,60.7923,62.7074,6.91205,70.6644,17.8452381,0.056037358,93.5
Château Brondelle Graves AC,Frankreich,2018,17.5,3.9,1010,0,R,74.6609,69.9339,1.98449,69.5167,4.487179487,0.222857143,92.9
Château Brondelle Graves AC,Frankreich,2020,14.95,3.9,1010,0,R,74.6609,69.9339,1.98449,69.5167,3.833333333,0.260869565,93.5
Château Brondelle Graves AC,Frankreich,2017,17.5,3.9,1010,0,R,74.6609,69.9339,1.98449,69.5167,4.487179487,0.222857143,91.7
Château Canon La Gaffelière 1er Grand Cru Classé B St-Emilion AOC,Frankreich,2019,74.95,4.3,12698,0,R,72.6066,54.0838,13.0078,50.0983,17.43023256,0.057371581,94.9
Château Canon La Gaffelière 1er Grand Cru Classé B St-Emilion AOC,Frankreich,2020,82.5,4.3,12698,0,R,72.6066,54.0838,13.0078,50.0983,19.18604651,0.052121212,93.5
Château Canon La Gaffelière 1er Grand Cru Classé B St-Emilion AOC,Frankreich,2017,89.95,4.3,12698,0,R,72.6066,54.0838,13.0078,50.0983,20.91860465,0.047804336,91.7
Château Canon Saint-Emilion AC 1er Grand Cru Classé B,Frankreich,2019,159,4.3,896,0,R,59.5941,46.6925,6.14086,46.3262,36.97674419,0.027044025,94.9
Château Canon Saint-Emilion AC 1er Grand Cru Classé B,Frankreich,2020,199,4.3,896,0,R,59.5941,46.6925,6.14086,46.3262,46.27906977,0.02160804,93.5
Château Canon Saint-Emilion AC 1er Grand Cru Classé B,Frankreich,2017,97.5,4.3,896,0,R,59.5941,46.6925,6.14086,46.3262,22.6744186,0.044102564,91.7
Château Cantenac Brown 3ème Cru Classé Margaux AOC,Frankreich,2017,64.95,4.2,18547,0,R,62.9674,64.6199,7.10272,72.0043,15.46428571,0.064665127,91.7
Château Caroline Moulis-en-Médoc AC,Frankreich,2018,17.95,3.7,1449,0,R,63.5049,61.3897,4.56468,65.4095,4.851351351,0.206128134,92.9
Château Caroline Moulis-en-Médoc AC,Frankreich,2017,17.5,3.7,1449,0,R,63.5049,61.3897,4.56468,65.4095,4.72972973,0.211428571,91.7
Château Chauvin Saint-Emilion AOC Grand cru classé,Frankreich,2016,49.95,4,3688,0,R,72.4923,56.6896,8.82249,51.7189,12.4875,0.08008008,94.1
Château Chauvin Saint-Emilion AOC Grand cru classé,Frankreich,2015,46.95,4,3688,0,R,72.4923,56.6896,8.82249,51.7189,11.7375,0.085197018,94.2
Château Clos Fourtet Saint-Emilion AC 1er Grand Cru Classé B,Frankreich,2017,109,4.3,896,0,R,59.5941,46.6925,6.14086,46.3262,25.34883721,0.039449541,91.7
Château Clos Fourtet Saint-Emilion AC 1er Grand Cru Classé B,Frankreich,2018,119,4.3,896,0,R,59.5941,46.6925,6.14086,46.3262,27.6744186,0.036134454,92.9
Château Clos Fourtet Saint-Emilion AC 1er Grand Cru Classé B,Frankreich,2020,115,4.3,896,0,R,59.5941,46.6925,6.14086,46.3262,26.74418605,0.037391304,93.5
Château Clos Fourtet Saint-Emilion AC 1er Grand Cru Classé B,Frankreich,2016,135,4.3,896,0,R,59.5941,46.6925,6.14086,46.3262,31.39534884,0.031851852,94.1
Château Clos Fourtet Saint-Emilion AC 1er Grand Cru Classé B,Frankreich,2015,119,4.3,896,0,R,59.5941,46.6925,6.14086,46.3262,27.6744186,0.036134454,94.2
